;Name;Code;;WGS84x;WGS84y;LV95x;LV95y;;mg
31;Abroma Augustum;DBGI_01_04_001;dbgi_000106;7.155886249;46.79269144;2578412.004;1182430.925;;48.6
26;Abutilon Grandifolium;DBGI_01_04_002;dbgi_000088;7.155930699;46.79270856;2578415.404;1182432.817;;49.3
82;Alpinia Galanga;DBGI_01_04_003;dbgi_000069;7.155902312;46.79265568;2578413.216;1182426.946;;48.7
57;Alpinia Officinarium;DBGI_01_04_004;dbgi_000065;7.155873104;46.79270552;2578411.006;1182432.495;;50.1
107;Ananas Comosus;DBGI_01_04_005;dbgi_000094;7.155984557;46.79268771;2578419.508;1182430.484;;48.8
116;Annona Cherimola;DBGI_01_04_006;dbgi_000070;7.155987572;46.79269384;2578419.741;1182431.165;;50.6
35;Arachis Hypogaea;DBGI_01_04_007;dbgi_000083;7.1558844;46.79267491;2578411.856;1182429.088;;51.2
110;Averrhoa Carambola;DBGI_01_04_008;dbgi_000120;7.155997638;46.79268341;2578420.505;1182430.002;;52.4
112;Bambusa Vulgaris;DBGI_01_04_009;dbgi_000077;7.156000242;46.79268491;2578420.705;1182430.168;;49
75;Bixa Orellana;DBGI_01_04_010;dbgi_000103;7.155874594;46.79267762;2578411.108;1182429.393;;48.7
102;Blighia Sapida;DBGI_01_04_011;dbgi_000064;7.155977845;46.79267473;2578418.99;1182429.043;;48.7
50;Boehmeria Nivea;DBGI_01_04_012;dbgi_000067;7.155901469;46.79272612;2578413.18;1182434.777;;48
45;Brahea Edulis;DBGI_01_04_013;xxx;7.155942718;46.79270459;2578416.321;1182432.372;;51
100;Brosimum Alicastrum;DBGI_01_04_014;dbgi_000059;7.155971133;46.79267759;2578418.479;1182429.362;;47.7
70;Caesalpinia Spinosa;DBGI_01_04_015;dbgi_000107;7.155865337;46.79268412;2578410.404;1182430.118;;48.4
37;Canna Indica;DBGI_01_04_016;dbgi_000063;7.15590394;46.792693;2578413.355;1182431.094;;50.1
115;Capsicum Frutescens;DBGI_01_04_017;dbgi_000099;7.155993036;46.79268937;2578420.156;1182430.667;;52
46;Carica Papaya;DBGI_01_04_018;dbgi_000092;7.155962212;46.79270632;2578417.81;1182432.559;;49.7
25;Carludovica Palmata;DBGI_01_04_019;dbgi_000076;7.155945049;46.79270744;2578416.5;1182432.688;;48.1
98;Catha Edulis;DBGI_01_04_020;dbgi_000054;7.155948082;46.79266783;2578416.715;1182428.284;;49
54;Catharantus Roseus;DBGI_01_04_021;dbgi_000085;7.155881962;46.79271254;2578411.685;1182433.273;;49.3
85;Cinnamomum Zeylanicum;DBGI_01_04_022;dbgi_000046;7.155914075;46.79264573;2578414.11;1182425.836;;51.8
95;Coffea Arabica (X3);DBGI_01_04_093;dbgi_000116;7.155939495;46.79266294;2578416.058;1182427.743;;51.8
60;Costus Afer;DBGI_01_04_023;dbgi_000101;7.155863281;46.79270634;2578410.256;1182432.589;;49.8
58;Costus Speciosus;DBGI_01_04_024;dbgi_000056;7.155868454;46.79270894;2578410.652;1182432.877;;48.4
28;Crescentia Cujete;DBGI_01_04_025;dbgi_000090;7.155904174;46.79270098;2578413.376;1182431.981;;50.3
39;Cycas Circinalis;DBGI_01_04_026;xxx;7.155915352;46.79269296;2578414.226;1182431.086;;50
33;Cyperus Esculentus;DBGI_01_04_027;dbgi_000098;7.155882137;46.7926844;2578411.687;1182430.144;;49.7
47;Cyperus Papyrus;DBGI_01_04_028;dbgi_000091;7.155930011;46.7927419;2578415.365;1182436.524;;48.2
51;Derris elliptica;DBGI_01_04_029;dbgi_000066;7.155885297;46.79272173;2578411.943;1182434.293;;52.2
83;Elettaria Cardamomum;DBGI_01_04_030;dbgi_000095;7.155900164;46.79265195;2578413.05;1182426.532;;52
81;Elettaria Major;DBGI_01_04_031;xxx;7.155898829;46.7926582;2578412.951;1182427.227;;49.2
69;Erythroxylum Coca;DBGI_01_04_032;dbgi_000052;7.155856646;46.79268982;2578409.743;1182430.754;;51.7
62;Eucharis Grandiflora;DBGI_01_04_033;dbgi_000108;7.155858674;46.79270534;2578409.904;1182432.478;;48.6
105;Eugenia Uniflora;DBGI_01_04_034;dbgi_000104;7.155976958;46.79268425;2578418.927;1182430.102;;50.7
24;Ficus Elastica;DBGI_01_04_035;dbgi_000089;7.155941926;46.79271303;2578416.263;1182433.311;;48.4
41;Furcraea foetida;DBGI_01_04_036;dbgi_000050;7.155931047;46.79269601;2578415.426;1182431.421;;50.6
32;Gossypium Arboreum;DBGI_01_04_037;dbgi_000057;7.155883495;46.79268915;2578411.793;1182430.672;;50.4
53;Guaiacum Officinale;DBGI_01_04_038;xxx;7.155885841;46.79271484;2578411.982;1182433.527;;52.4
65;Gynostemma Pentaphyllum;DBGI_01_04_039;dbgi_000118;7.155842419;46.79270165;2578408.662;1182432.073;;48.3
30;Hibiscus Tiliaceus;DBGI_01_04_040;dbgi_000097;7.155902633;46.79269729;2578413.257;1182431.571;;52.5
114;Hylocereus Undatus;DBGI_01_04_041;dbgi_000109;7.155998684;46.79269148;2578420.588;1182430.899;;50.6
71;Indigofera Tinctoria;DBGI_01_04_042;dbgi_000053;7.155868939;46.79268146;2578410.678;1182429.821;;47.6
80;Jasminum Sambac;DBGI_01_04_043;dbgi_000071;7.155890148;46.79265952;2578412.289;1182427.376;;51.1
29;Khaya Senegalensis;DBGI_01_04_044;xxx;7.15589149;46.79269392;2578412.405;1182431.2;;48.6
27;Leucaenia sp. ;DBGI_01_04_045;xxx;7.15595063;46.79271595;2578416.929;1182433.633;;52.1
96;Lippia Dulcis;DBGI_01_04_046;dbgi_000044;7.155937122;46.79266503;2578415.877;1182427.976;;49.2
104;Mangifera Indica;DBGI_01_04_047;dbgi_000045;7.155982424;46.79267948;2578419.342;1182429.57;;52.1
38;Manihot Esculanta;DBGI_01_04_048;xxx;7.155916687;46.79269887;2578414.331;1182431.743;;49.3
55;Morinda Citrifolia;DBGI_01_04_049;dbgi_000093;7.155879197;46.79270974;2578411.473;1182432.961;;48.8
79;Murraya Koenigii;DBGI_01_04_050;dbgi_000081;7.155894041;46.79266146;2578412.587;1182427.591;;48.9
76;Murraya Paniculata;DBGI_01_04_051;dbgi_000061;7.155878803;46.79267245;2578411.428;1182428.816;;48.2
99;Musa Acuminata;DBGI_01_04_052;dbgi_000041;7.155962714;46.79267272;2578417.834;1182428.824;;48.5
49;Musa Basjoo;DBGI_01_04_053;dbgi_000086;7.155911785;46.79273062;2578413.969;1182435.274;;52.1
40;Musa x Paradisiaca;DBGI_01_04_054;dbgi_000105;7.155925442;46.79269213;2578414.996;1182430.991;;49.3
109;Nephelium Longana;DBGI_01_04_055;xxx;7.155991991;46.79268115;2578420.073;1182429.753;;48.1
48;Oryza Sativa;DBGI_01_04_056;dbgi_000048;7.155940611;46.79273929;2578416.174;1182436.23;;50.3
111;Passiflora Quadrangularis;DBGI_01_04_057;dbgi_000062;7.155999606;46.79268162;2578420.655;1182429.802;;51.2
97;Paullinia Cupana;DBGI_01_04_058;dbgi_000074;7.155951602;46.79265896;2578416.98;1182427.297;;50.1
23;Payena Leerii;DBGI_01_04_059;dbgi_000049;7.155948693;46.79270976;2578416.779;1182432.946;;47.7
94;Pedimus Spurius (X2);DBGI_01_04_094;dbgi_000111;7.1559334;46.79265959;2578415.591;1182427.372;;51
34;Persea Americana;DBGI_01_04_060;dbgi_000051;7.155878006;46.79268116;2578411.37;1182429.785;;49.2
87;Persicaria Odorata;DBGI_01_04_061;dbgi_000068;7.155919042;46.79264961;2578414.491;1182426.267;;50.8
22;Physalis Peruviana;DBGI_01_04_062;dbgi_000096;7.155959371;46.79271172;2578417.595;1182433.16;;51.8
92;Piper Betle;DBGI_01_04_063;dbgi_000072;7.155935515;46.79265129;2578415.749;1182426.449;;49.4
88;Piper Longum;DBGI_01_04_064;dbgi_000047;7.155926423;46.79264829;2578415.054;1182426.118;;51.3
66;Piper Retrofractum;DBGI_01_04_065;dbgi_000043;7.155848898;46.7926947;2578409.153;1182431.299;;51.2
89;Plectranthus Amboinicus;DBGI_01_04_066;dbgi_000110;7.155930529;46.79265083;2578415.368;1182426.399;;50.3
86;Plectranthus Amboinicus Variegatus (X1);DBGI_01_04_067;xxx;7.155919707;46.79264693;2578414.54;1182425.969;;48.1
77;Pogostemon Cablin;DBGI_01_04_068;dbgi_000042;7.155883165;46.79266784;2578411.759;1182428.303;;51.2
101;Psidium Cattleyanum;DBGI_01_04_069;dbgi_000078;7.15597325;46.79267314;2578418.639;1182428.867;;49.5
59;Psychotria Bacteriophila;DBGI_01_04_070;dbgi_000121;7.155862206;46.79271032;2578410.176;1182433.032;;
103;Quisqualis Indica;DBGI_01_04_071;xxx;7.155979954;46.79267157;2578419.15;1182428.691;;
68;Rivina Humilis;DBGI_01_04_072;dbgi_000055;7.155861622;46.79269372;2578410.125;1182431.186;;50.2
90;Rungia Klossii;DBGI_01_04_073;dbgi_000060;7.155923776;46.79265677;2578414.855;1182427.061;;48
36;Saccharum Officinarium;DBGI_01_04_074;dbgi_000087;7.155890853;46.79268496;2578412.353;1182430.204;;50.9
91;Salvia Divinorum;DBGI_01_04_075;dbgi_000073;7.155928553;46.79265544;2578415.219;1182426.912;;47.6
42;Sansevieria Longiflora;DBGI_01_04_076;dbgi_000119;7.155932624;46.79270258;2578415.549;1182432.152;;51.5
44;Sansevieria Trifasciata Prain;DBGI_01_04_077;dbgi_000114;7.155946498;46.79269933;2578416.607;1182431.786;;50.4
43;Sansevieria Trifasciata Prain Hahnii;DBGI_01_04_078;dbgi_000113;7.155937415;46.79270656;2578415.916;1182432.592;;48.2
21;Sansevieria Trifasciata Prain Laurentii;DBGI_01_04_079;dbgi_000112;7.155925367;46.79270642;2578414.996;1182432.581;;50.3
74;Senna Alexandrina;DBGI_01_04_080;dbgi_000040;7.155869505;46.79267832;2578410.72;1182429.472;;50.4
61;Senna Siamea;DBGI_01_04_081;dbgi_000075;7.15586158;46.79270408;2578410.125;1182432.337;;50.2
64;Serenoa Repens;DBGI_01_04_082;dbgi_000082;7.155855147;46.79270535;2578409.635;1182432.481;;48.3
106;Solanum Betaceum;DBGI_01_04_083;dbgi_000084;7.155979368;46.79268127;2578419.109;1182429.769;;50.5
113;Solanum Quitoense;DBGI_01_04_084;dbgi_000079;7.15599827;46.79268729;2578420.555;1182430.434;;48.9
93;Stevia Rebaudiana;DBGI_01_04_085;dbgi_000122;7.155928401;46.79265919;2578415.209;1182427.329;;49.6
63;Strophanthus Gratus;DBGI_01_04_086;dbgi_000080;7.15585773;46.79270941;2578409.834;1182432.931;;50.8
56;Strophanthus Hispidus;DBGI_01_04_087;dbgi_000102;7.155875078;46.79271774;2578411.162;1182433.853;;51.9
108;Syzygium Jambos;DBGI_01_04_088;dbgi_000058;7.155988057;46.79268428;2578419.774;1182430.102;;49.9
52;Thevetia Peruviana;DBGI_01_04_089;xxx;7.155888416;46.79271854;2578412.18;1182433.938;;
84;Vanilla Planifolia;DBGI_01_04_090;dbgi_000100;7.15591041;46.7926417;2578413.829;1182425.389;;51.4
78;Vetiveria Zizanioides;DBGI_01_04_091;dbgi_000115;7.155885784;46.79266457;2578411.958;1182427.939;;49.9
67;Villamilla Peruviana;DBGI_01_04_092;xxx;7.155853603;46.79269452;2578409.513;1182431.277;;47.5
;Villamilla Peruviana;DBGI_01_04_095;xxx;7.155853603;46.79269452;2578409.513;1182431.277;;50.9
;Echeveria elegans;;dbgi_000124;;;;;;
;Echeveria elegans;;dbgi_000037;;;;;;
;leonurus cardiaca;;dbgi_000038;;;;;;
;leonurus cardiaca;;dbgi_000125;;;;;;
;ephedra helvetica;;dbgi_000117;;;;;;
;ephedra helvetica;;dbgi_000036;;;;;;
;oscularia deltoides;;dbgi_000039;;;;;;
;oscularia deltoides;;dbgi_000123;;;;;;
