;LV95x;LV95y;WGS84x;WGS84y;Name;Code;mg 09.05.2022;mg 05.05.2022;
60;7.155863281;46.79270634;2578410.256;1182432.589;Costus Afer;DBGI_01_04_038;51;;dbgi_000018
31;2578412.004;1182430.925;7.155886249;46.79269144;Abroma Augustum;DBGI_01_11_001;48.7;;dbgi_000030
26;2578415.404;1182432.817;7.155930699;46.79270856;Abutilon Grandifolium;DBGI_01_11_002;;47.6;dbgi_000028
57;2578411.006;1182432.495;7.155873104;46.79270552;Alpinia Officinarium;DBGI_01_11_003;47.8;;dbgi_000008
35;2578411.856;1182429.088;7.1558844;46.79267491;Arachis Hypogaea;DBGI_01_11_004;47.5;;dbgi_000026
50;2578413.18;1182434.777;7.155901469;46.79272612;Boehmeria Nivea;DBGI_01_11_005;49.5;;dbgi_000029
45;2578416.321;1182432.372;7.155942718;46.79270459;Brahea Edulis;DBGI_01_11_006;48.5;;xxx
37;2578413.355;1182431.094;7.15590394;46.792693;Canna Indica;DBGI_01_11_007;49;;dbgi_000024
46;2578417.81;1182432.559;7.155962212;46.79270632;Carica Papaya;DBGI_01_11_008;49.6;;dbgi_000027
25;2578416.5;1182432.688;7.155945049;46.79270744;Carludovica Palmata;DBGI_01_11_009;51.4;;dbgi_000021
54;2578411.685;1182433.273;7.155881962;46.79271254;Catharantus Roseus;DBGI_01_11_010;51.1;;dbgi_000015
58;2578410.652;1182432.877;7.155868454;46.79270894;Costus Speciosus;DBGI_01_11_011;51.4;;dbgi_000031
28;2578413.376;1182431.981;7.155904174;46.79270098;Crescentia Cujete;DBGI_01_11_012;49.5;;dbgi_000013
39;2578414.226;1182431.086;7.155915352;46.79269296;Cycas Circinalis;DBGI_01_11_013;47.8;;xxx
33;2578411.687;1182430.144;7.155882137;46.7926844;Cyperus Esculentus;DBGI_01_11_014;51.1;;dbgi_000012
47;2578415.365;1182436.524;7.155930011;46.7927419;Cyperus Papyrus;DBGI_01_11_015;;49.3;dbgi_000006
51;2578411.943;1182434.293;7.155885297;46.79272173;Derris elliptica;DBGI_01_11_016;49.4;;dbgi_000002
24;2578416.263;1182433.311;7.155941926;46.79271303;Ficus Elastica;DBGI_01_11_017;48;;dbgi_000010
41;2578415.426;1182431.421;7.155931047;46.79269601;Furcraea foetida;DBGI_01_11_018;49.7;;dbgi_000022
32;2578411.793;1182430.672;7.155883495;46.79268915;Gossypium Arboreum;DBGI_01_11_019;49;;dbgi_000017
53;2578411.982;1182433.527;7.155885841;46.79271484;Guaiacum Officinale;DBGI_01_11_020;49.6;;xxx
30;2578413.257;1182431.571;7.155902633;46.79269729;Hibiscus Tiliaceus;DBGI_01_11_021;;51.1;dbgi_000020
29;2578412.405;1182431.2;7.15589149;46.79269392;Khaya Senegalensis;DBGI_01_11_022;48.8;;xxx
27;2578416.929;1182433.633;7.15595063;46.79271595;Leucania sp. ;DBGI_01_11_023;52.2;;xxx
38;2578414.331;1182431.743;7.155916687;46.79269887;Manihot Esculanta;DBGI_01_11_024;52.2;;dbgi_000007
55;2578411.473;1182432.961;7.155879197;46.79270974;Morinda Citrifolia;DBGI_01_11_025;51.9;;dbgi_000004
49;2578413.969;1182435.274;7.155911785;46.79273062;Musa Basjoo;DBGI_01_11_026;50.3;;dbgi_000014
40;2578414.996;1182430.991;7.155925442;46.79269213;Musa x Paradisiaca;DBGI_01_11_027;52;;dbgi_000023
48;2578416.174;1182436.23;7.155940611;46.79273929;Oryza Sativa;DBGI_01_11_028;50.5;;dbgi_000025
23;2578416.779;1182432.946;7.155948693;46.79270976;Payena Leerii;DBGI_01_11_029;52.4;;dbgi_000019
34;2578411.37;1182429.785;7.155878006;46.79268116;Persea Americana;DBGI_01_11_030;49.2;;dbgi_000011
22;2578417.595;1182433.16;7.155959371;46.79271172;Physalis Peruviana;DBGI_01_11_031;51.6;;dbgi_000016
59;2578410.176;1182433.032;7.155862206;46.79271032;Psychotria Bacteriophila;DBGI_01_11_032;51.2;;dbgi_000003
36;2578412.353;1182430.204;7.155890853;46.79268496;Saccharum Officinarium;DBGI_01_11_033;51.8;;dbgi_000001
42;2578415.549;1182432.152;7.155932624;46.79270258;Sansevieria Longiflora;DBGI_01_11_034;50.6;;dbgi_000005
44;2578416.607;1182431.786;7.155946498;46.79269933;Sansevieria Trifasciata Prain;DBGI_01_11_035;49.3;;dbgi_000033
43;2578415.916;1182432.592;7.155937415;46.79270656;Sansevieria Trifasciata Prain Hahnii;DBGI_01_11_036;52.1;;dbgi_000035
21;7.155925367;46.79270642;2578414.996;1182432.581;Sansevieria Trifasciata Prain Laurentii;DBGI_01_11_037;49.2;;dbgi_000034
56;2578411.162;1182433.853;7.155875078;46.79271774;Strophanthus Hispidus;DBGI_01_11_039;47.8;;dbgi_000009
52;2578412.18;1182433.938;7.155888416;46.79271854;Thevetia Peruviana;DBGI_01_11_040;52.3;;dbgi_000032
