fid,Plant_ID,spl_code,Panel,General,Detail,Cut,Panel+Label,x_coord,y_coord,mg
"2",Aconitum vulparia aggr.,dbgi_001126,DCIM/SBL_20004_2023/Aconitum vulparia aggr._dbgi_001126_Panel.jpg,DCIM/SBL_20004_2023/Aconitum vulparia aggr._dbgi_001126_General.jpg,DCIM/SBL_20004_2023/Aconitum vulparia aggr._dbgi_001126_Detail.jpg,DCIM/SBL_20004_2023/Aconitum vulparia aggr._dbgi_001126_Cut.jpg,DCIM/SBL_20004_2023/Aconitum vulparia aggr._dbgi_001126_Panel+Label.jpg,2578455.0780674,1182404.12321172,
"3",Aconitum variegatum L.,dbgi_001123,DCIM/SBL_20004_2023/Aconitum variegatum L._dbgi_001123_Panel.jpg,DCIM/SBL_20004_2023/Aconitum variegatum L._dbgi_001123_General.jpg,DCIM/SBL_20004_2023/Aconitum variegatum L._dbgi_001123_Detail.jpg,DCIM/SBL_20004_2023/Aconitum variegatum L._dbgi_001123_Cut.jpg,DCIM/SBL_20004_2023/Aconitum variegatum L._dbgi_001123_Panel+Label.jpg,2578455.15006062,1182404.93497665,
"4",Aconitum forrestii Stapf,dbgi_001135,files/20230405135920385_QFieldCamera20230405_1559204841668933688078943,files/20230405135943853_QFieldCamera20230405_1559431376335993574549606,files/20230405135957498_QFieldCamera20230405_1559574502604785751323646,files/20230405140026418_QFieldCamera20230405_1600263924329898870944909,files/20230405140042435_QFieldCamera20230405_1600424698154406807655925,2578455.77922043,1182404.32497079,
"5",Aconitum carmichaelii Debeaux,dbgi_001118,DCIM/SBL_20004_2023/Aconitum carmichaelii Debeaux_dbgi_001118_Panel.jpg,DCIM/SBL_20004_2023/Aconitum carmichaelii Debeaux_dbgi_001118_General.jpg,DCIM/SBL_20004_2023/Aconitum carmichaelii Debeaux_dbgi_001118_Detail.jpg,DCIM/SBL_20004_2023/Aconitum carmichaelii Debeaux_dbgi_001118_Cut.jpg,DCIM/SBL_20004_2023/Aconitum carmichaelii Debeaux_dbgi_001118_Panel+Label.jpg,2578456.12372842,1182405.27415327,
"6",Delphinium elatum L.,dbgi_001128,files/20230405140809665_QFieldCamera20230405_1608091801476640660026431,files/20230405140819090_QFieldCamera20230405_1608193825982853412578715,files/20230405140828347_QFieldCamera20230405_1608287127166846075627097,files/20230405140843760_QFieldCamera20230405_1608436497569837847825997,files/20230405140902646_QFieldCamera20230405_1609028376382838809210282,2578455.27127256,1182406.51693948,
"7",Delphinium caucasicum C.A.Mey,dbgi_001114,files/20230405141251733_QFieldCamera20230405_1612511989524388620312266,files/20230405141259910_QFieldCamera20230405_1612596894031782306902502,files/20230405141310854_QFieldCamera20230405_1613103742700666376908382,files/20230405141319923_QFieldCamera20230405_1613197285960082949237943,files/20230405141339254_QFieldCamera20230405_1613393492736102409430349,2578456.00830346,1182406.39987609,
"8",Ranunculus auricomus aggr.,dbgi_000911,files/20230405141800725_QFieldCamera20230405_1618003453684632084119737,files/20230405141811420_QFieldCamera20230405_1618112842317980777354532,files/20230405141821240_QFieldCamera20230405_1618215703605951409342104,files/20230405141836337_QFieldCamera20230405_1618366954360935827290303,files/20230405141907073_QFieldCamera20230405_1619073731879344228505251,2578458.82114785,1182392.3372878,
"9",Ranunculus acris subsp. friesianus (Jord.) Syme,dbgi_001052,DCIM/SBL_20004_2023/Ranunculus acris subsp. friesianus (Jord.) Syme_dbgi_001052_Panel.jpg,DCIM/SBL_20004_2023/Ranunculus acris subsp. friesianus (Jord.) Syme_dbgi_001052_General.jpg,DCIM/SBL_20004_2023/Ranunculus acris subsp. friesianus (Jord.) Syme_dbgi_001052_Detail.jpg,DCIM/SBL_20004_2023/Ranunculus acris subsp. friesianus (Jord.) Syme_dbgi_001052_Cut.jpg,DCIM/SBL_20004_2023/Ranunculus acris subsp. friesianus (Jord.) Syme_dbgi_001052_Panel+Label.jpg,2578458.62790246,1182394.5152353,
"10",Ranunculus aconitifolius L.,dbgi_001133,files/20230405142956361_QFieldCamera20230405_1629568905201344313670103,files/20230405143018567_QFieldCamera20230405_163018889368151277369833,files/20230405143027302_QFieldCamera20230405_163027440739747748892950,files/20230405143035974_QFieldCamera20230405_1630367184166703687962731,files/20230405143047662_QFieldCamera20230405_1630478920907301374770744,2578459.42923539,1182392.71109331,
"11",Ranunculus repens L.,dbgi_001124,files/20230405143242823_QFieldCamera20230405_1632423998987473535779309,files/20230405143249983_QFieldCamera20230405_1632505141254250173897788,files/20230405143305138_QFieldCamera20230405_1633052388437275176117107,files/20230405143321228_QFieldCamera20230405_1633214175954010439561596,files/20230405143425374_QFieldCamera20230405_163425998399129809687547,2578459.22245411,1182391.69049447,
