fid,Plant_ID,spl_code,Panel,General,Detail,Cut,Panel+Label,x_coord,y_coord,mg
"1",Sedum palmeri S. Watson,dbgi_000969,DCIM/JPEG_20230223103135576.jpg,DCIM/JPEG_20230223103146599.jpg,DCIM/JPEG_20230223103218459.jpg,DCIM/JPEG_20230223103302621.jpg,DCIM/JPEG_20230223103319230.jpg,2578406.08195182,1182473.03314289,
"2",Sedum treleasei Rose,dbgi_000917,DCIM/JPEG_20230223105038604.jpg,DCIM/JPEG_20230223105102627.jpg,DCIM/JPEG_20230223105126941.jpg,DCIM/JPEG_20230223105202803.jpg,DCIM/JPEG_20230223105240092.jpg,2578406.14887053,1182472.97100409,
"3",Sedum rubrotinctum R.T. Clausen,dbgi_000919,DCIM/JPEG_20230223112147003.jpg,DCIM/JPEG_20230223112211526.jpg,DCIM/JPEG_20230223112219939.jpg,DCIM/JPEG_20230223112247753.jpg,DCIM/JPEG_20230223112259416.jpg,2578405.89398977,1182473.18573169,
"4",Sedum rubrotinctum R.T. Clausen,dbgi_000921,DCIM/JPEG_20230223112906489.jpg,DCIM/JPEG_20230223112943216.jpg,DCIM/JPEG_20230223112956522.jpg,DCIM/JPEG_20230223113028144.jpg,DCIM/JPEG_20230223113042614.jpg,2578405.88500571,1182473.18157697,
"5",Sedum nussbaumerianum Bitter,dbgi_001013,DCIM/JPEG_20230223113609300.jpg,DCIM/JPEG_20230223113649585.jpg,DCIM/JPEG_20230223113706529.jpg,DCIM/JPEG_20230223113726595.jpg,DCIM/JPEG_20230223113750360.jpg,2578405.78673708,1182473.18157697,
"6",Sedum nussbaumerianum Bitter,dbgi_000992,DCIM/JPEG_20230223114002735.jpg,DCIM/JPEG_20230223114013190.jpg,DCIM/JPEG_20230223114027628.jpg,DCIM/JPEG_20230223114038999.jpg,DCIM/JPEG_20230223114127012.jpg,2578405.77180254,1182473.18157697,
"7",Lenophyllum texanum (J.G. Sm.) Rose,dbgi_000913,DCIM/JPEG_20230223114542353.jpg,DCIM/JPEG_20230223114559418.jpg,DCIM/JPEG_20230223114618419.jpg,DCIM/JPEG_20230223114647001.jpg,DCIM/JPEG_20230223114703631.jpg,2578405.15132815,1182473.18157697,
"8",Lenophyllum texanum (J.G. Sm.) Rose,dbgi_000991,DCIM/JPEG_20230223114928457.jpg,DCIM/JPEG_20230223114937912.jpg,DCIM/JPEG_20230223114947462.jpg,DCIM/JPEG_20230223115024983.jpg,DCIM/JPEG_20230223115043644.jpg,2578405.09766712,1182473.18157697,
"9",Pachyphytum compactum Rose,dbgi_001017,DCIM/JPEG_20230223115437378.jpg,DCIM/JPEG_20230223115513233.jpg,DCIM/JPEG_20230223115523587.jpg,DCIM/JPEG_20230223115538892.jpg,DCIM/JPEG_20230223115556955.jpg,2578404.08481507,1182473.18157697,
"10",Pachyphytum compactum Rose,dbgi_000915,DCIM/JPEG_20230223115855405.jpg,DCIM/JPEG_20230223115903162.jpg,DCIM/JPEG_20230223115916926.jpg,DCIM/JPEG_20230223115924726.jpg,DCIM/JPEG_20230223115944556.jpg,2578403.977493,1182473.18157697,
"11",Pachyphytum oviferum J.A. Purpus,dbgi_000998,DCIM/JPEG_20230223120302602.jpg,DCIM/JPEG_20230223120310612.jpg,DCIM/JPEG_20230223120330830.jpg,DCIM/JPEG_20230223120349375.jpg,DCIM/JPEG_20230223120405293.jpg,2578403.81650989,1182473.18157697,
"12",Pachyphytum oviferum J.A. Purpus,dbgi_000922,DCIM/JPEG_20230223120641294.jpg,DCIM/JPEG_20230223120651153.jpg,DCIM/JPEG_20230223120704433.jpg,DCIM/JPEG_20230223120712187.jpg,DCIM/JPEG_20230223120725257.jpg,2578403.76284885,1182473.18157697,
"14",Zephyranthes candida (Lindl.) Herb.,dbgi_000912,DCIM/JPEG_20230322100546623.jpg,DCIM/JPEG_20230322100610959.jpg,DCIM/JPEG_20230322100702373.jpg,DCIM/JPEG_20230322100823840.jpg,DCIM/JPEG_20230322101115709.jpg,2578404.81996533,1182473.5462205,
"15",Dyckia sulphurea C. Koch,dbgi_001011,DCIM/JPEG_20230322101406925.jpg,DCIM/JPEG_20230322101658257.jpg,DCIM/JPEG_20230322101724803.jpg,DCIM/JPEG_20230322101803183.jpg,DCIM/JPEG_20230322102020559.jpg,2578404.62289595,1182474.02842219,
"16",Sedum mexicanum Britton,dbgi_000996,DCIM/JPEG_20230322102559464.jpg,DCIM/JPEG_20230322102611648.jpg,DCIM/JPEG_20230322102644419.jpg,DCIM/JPEG_20230322102655386.jpg,DCIM/JPEG_20230322102812416.jpg,2578403.40420334,1182474.34032639,
"17",Callisia navicularis (Ortgies) D.R. Hunt,dbgi_000984,DCIM/JPEG_20230322103439835.jpg,DCIM/JPEG_20230322103454538.jpg,DCIM/JPEG_20230322103514950.jpg,DCIM/JPEG_20230322103529749.jpg,DCIM/JPEG_20230322103553066.jpg,2578403.18014016,1182474.1076417,
"18",Zephyranthes andersoniana Benth. et Hook. f.,dbgi_001000,DCIM/JPEG_20230322104244052.jpg,DCIM/JPEG_20230322104301491.jpg,DCIM/JPEG_20230322104318879.jpg,DCIM/JPEG_20230322104329095.jpg,DCIM/JPEG_20230322104355390.jpg,2578402.9991803,1182474.43185975,
"19",Pachyphytum compactum Rose,dbgi_000926,DCIM/JPEG_20230322104907955.jpg,DCIM/JPEG_20230322104923993.jpg,DCIM/JPEG_20230322104939613.jpg,DCIM/JPEG_20230322104952272.jpg,DCIM/JPEG_20230322105025498.jpg,2578402.52957455,1182473.85878154,
"20",Echeveria bicolor (Kunth) E. Walther,dbgi_000987,DCIM/JPEG_20230322105519107.jpg,DCIM/JPEG_20230322105535548.jpg,DCIM/JPEG_20230322105743230.jpg,DCIM/JPEG_20230322105802253.jpg,DCIM/JPEG_20230322105824478.jpg,2578402.4003401,1182473.95313588,
"21",Echeveria x pulchella A. Berger,dbgi_000924,DCIM/JPEG_20230322110200940.jpg,DCIM/JPEG_20230322110214792.jpg,DCIM/JPEG_20230322110234474.jpg,DCIM/JPEG_20230322110301324.jpg,DCIM/JPEG_20230322110323133.jpg,2578402.11020814,1182474.44359705,
"22",Echeveria x titubanus,dbgi_000923,DCIM/JPEG_20230322110804069.jpg,DCIM/JPEG_20230322110820299.jpg,DCIM/JPEG_20230322110838767.jpg,DCIM/JPEG_20230322110909883.jpg,DCIM/JPEG_20230322110933175.jpg,2578401.96514216,1182474.13964928,
"23",Echeveria leucotricha J.A. Purpus,dbgi_000976,DCIM/JPEG_20230322111259304.jpg,DCIM/JPEG_20230322111309512.jpg,DCIM/JPEG_20230322111325350.jpg,DCIM/JPEG_20230322111349418.jpg,DCIM/JPEG_20230322111410109.jpg,2578401.72336552,1182474.14655718,
"24",Zephyranthes minuta (Kunth) D. Dietr.,dbgi_000999,DCIM/JPEG_20230322111851459.jpg,DCIM/JPEG_20230322111903313.jpg,DCIM/JPEG_20230322111919717.jpg,DCIM/JPEG_20230322111929083.jpg,DCIM/JPEG_20230322111942318.jpg,2578401.45395727,1182474.71991321,
"25",Echeveria elegans Rose,dbgi_000970,DCIM/JPEG_20230322135653282.jpg,DCIM/JPEG_20230322135744289.jpg,DCIM/JPEG_20230322135811618.jpg,DCIM/JPEG_20230322135922546.jpg,DCIM/JPEG_20230322140012706.jpg,2578401.21896424,1182474.57406841,
"26",Senecio herreanus Dinter,dbgi_001010,DCIM/JPEG_20230322140627671.jpg,DCIM/JPEG_20230322140642920.jpg,DCIM/JPEG_20230322140659073.jpg,DCIM/JPEG_20230322140724677.jpg,DCIM/JPEG_20230322140735769.jpg,2578400.98652448,1182474.75145665,
"27",Senecio articulatus (L. f.) Sch. Bip.,dbgi_000978 hi ,DCIM/JPEG_20230322141134435.jpg,DCIM/JPEG_20230322141205676.jpg,DCIM/JPEG_20230322141228681.jpg,DCIM/JPEG_20230322141249530.jpg,DCIM/JPEG_20230322141318754.jpg,2578400.91312245,1182474.5373674,
"28",Senecio citriformis G.D. Rowley,dbgi_000973,DCIM/JPEG_20230322141706786.jpg,DCIM/JPEG_20230322141718979.jpg,DCIM/JPEG_20230322141742514.jpg,DCIM/JPEG_20230322141756241.jpg,DCIM/JPEG_20230322141813796.jpg,2578400.66844902,1182474.78815767,
"29",Glottiphyllum cruciatum (Haw.) N.E. Br.,dbgi_000989,DCIM/JPEG_20230322142144296.jpg,DCIM/JPEG_20230322142153753.jpg,DCIM/JPEG_20230322142222592.jpg,DCIM/JPEG_20230322142234393.jpg,DCIM/JPEG_20230322142253274.jpg,2578400.30143887,1182474.76980716,
"30",Carpobrotus edulis (L.) L. Bolus,dbgi_000993,DCIM/JPEG_20230322142838593.jpg,DCIM/JPEG_20230322142850039.jpg,DCIM/JPEG_20230322142914958.jpg,DCIM/JPEG_20230322142923039.jpg,DCIM/JPEG_20230322142946265.jpg,2578400.20968633,1182474.29269396,
"31",Pleiospilos compactus (Aiton) Schwantes subsp. compactus,dbgi_000997,DCIM/JPEG_20230322143854106.jpg,DCIM/JPEG_20230322143905424.jpg,DCIM/JPEG_20230322143946588.jpg,DCIM/JPEG_20230322144007079.jpg,DCIM/JPEG_20230322144129553.jpg,2578400.00783074,1182474.775924,
"32",Titanopsis calcarea (Marloth) Schwantes,dbgi_000990,DCIM/JPEG_20230322144641258.jpg,DCIM/JPEG_20230322144653768.jpg,DCIM/JPEG_20230322144716761.jpg,DCIM/JPEG_20230322144735168.jpg,DCIM/JPEG_20230322144751303.jpg,2578399.84879301,1182474.31716131,
"33",Rabiea albinota (Haw.) N.E. Br.,dbgi_000954,DCIM/JPEG_20230322150143755.jpg,DCIM/JPEG_20230322150201133.jpg,DCIM/JPEG_20230322150229005.jpg,DCIM/JPEG_20230322150301876.jpg,DCIM/JPEG_20230322150334826.jpg,2578399.68363844,1182475.00836376,
"34",Machairophyllum albidum (L.) Schwantes,dbgi_000910,DCIM/JPEG_20230322150839355.jpg,DCIM/JPEG_20230322150850122.jpg,DCIM/JPEG_20230322150902469.jpg,DCIM/JPEG_20230322150915557.jpg,DCIM/JPEG_20230322150942820.jpg,2578399.41376229,1182474.98073867,
"35",Rhinephyllum graniforme (Haw.) L. Bolus,dbgi_000920,DCIM/JPEG_20230322151341087.jpg,DCIM/JPEG_20230322151350232.jpg,DCIM/JPEG_20230322151405669.jpg,DCIM/JPEG_20230322151421114.jpg,DCIM/JPEG_20230322151431180.jpg,2578399.19967304,1182474.84616828,
"36",Haemanthus albiflos Jacq.,dbgi_000972,DCIM/JPEG_20230323085047133.jpg,DCIM/JPEG_20230323085101169.jpg,DCIM/JPEG_20230323085119416.jpg,DCIM/JPEG_20230323085139806.jpg,DCIM/JPEG_20230323085203024.jpg,2578399.05682406,1182474.3362381,
