Plant_ID,spl_code,Panel,General,Detail,Cut,Panel+Labe,x_coord,y_coord,fid,mg
Impatiens balsamina L.,DBGI_SPL_000390,,,,,,2578465.342000000178814,1182411.242999999783933,1,
Impatiens x new guinea,DBGI_SPL_000457,,,,,,2578466.753000000026077,1182411.247999999905005,2,
Aaunknown,DBGI_SPL_000475,,,,,,2578467.080999999772757,1182410.887000000104308,3,
Cobaea scandens Cav.,DBGI_SPL_000474,,,,,,2578469.195999999996275,1182410.172000000020489,4,
Phlox drummondii Hook.,DBGI_SPL_000470,,,,,,2578469.322999999858439,1182409.730999999679625,5,
Polemonium caeruleum L.,DBGI_SPL_000441,,,,,,2578469.628000000491738,1182410.514999999897555,6,
Phlox amplifolia Britton,DBGI_SPL_000460,,,,,,2578470.285999999847263,1182410.597000000067055,7,
Gaultheria procumbens L.,DBGI_SPL_000476,,,,,,2578471.251000000163913,1182409.023000000044703,8,
Vaccinium corymbosum L. 'Patriot',DBGI_SPL_000471,,,,,,2578471.515999999828637,1182409.201999999815598,9,
,DBGI_SPL_000461,,,,,,2578472.719113440252841,1182408.665744488360360,10,
Erica terminalis Salisb.,DBGI_SPL_000439,,,,,,2578474.026000000070781,1182408.553000000072643,11,
Erica vagans L.,DBGI_SPL_000482,,,,,,2578474.214999999850988,1182408.003000000026077,12,
Lysimachia clethroides Duby,DBGI_SPL_000483,,,,,,2578471.876999999862164,1182410.272000000113621,13,
Lysimachia punctata L.,DBGI_SPL_000477,,,,,,2578472.774999999906868,1182409.989000000292435,14,
Primula veris L. subsp. veris,DBGI_SPL_000485,,,,,,2578473.320999999996275,1182409.598999999696389,15,
Primula auricula L.,DBGI_SPL_000440,,,,,,2578473.640000000130385,1182409.551999999908730,16,
,DBGI_SPL_000437,,,,,,2578473.769791053142399,1182410.038578093983233,17,
Androsace sempervivoides Duby,DBGI_SPL_000391,,,,,,2578473.929000000003725,1182409.807000000029802,18,
,DBGI_SPL_000442,,,,,,2578473.399927867576480,1182408.335035615833476,19,
Clethra alnifolia L.,DBGI_SPL_000492,,,,,,2578475.572000000160187,1182408.078999999910593,20,
Cyrilla racemiflora L.,DBGI_SPL_000428,,,,,,2578476.820999999996275,1182406.593000000109896,21,
Diospyros lotus L. Femelle,DBGI_SPL_000500,,,,,,2578477.632999999914318,1182408.510000000242144,22,
Actinidia kolomikta (Maxim. et Rupr.) Maxim.,DBGI_SPL_000449,,,,,,2578478.623000000137836,1182406.331999999936670,23,
Franklinia alatamaha Marshall,DBGI_SPL_000487,,,,,,2578480.557999999728054,1182406.651000000070781,24,
Stewartia pseudocamellia var. koreana ( Rehder) Sealy,DBGI_SPL_000430,,,,,,2578479.767000000458211,1182409.206999999936670,25,
Halesia carolina L.,DBGI_SPL_000410,,,,,,2578481.817999999970198,1182408.735000000102445,26,
Pterostyrax hispida Siebold et Zucc.,DBGI_SPL_000466,,,,,,2578483.220999999903142,1182406.765999999828637,27,
Sinojackia rehderiana Hu,DBGI_SPL_000499,,,,,,2578485.651000000070781,1182408.027000000001863,28,
Cornus florida fo. rubra (Weston) Schelle,DBGI_SPL_000425,,,,,,2578486.029999999329448,1182404.985000000335276,29,
Davidia involucrata Baill. s.l.,DBGI_SPL_000434,,,,,,2578488.961999999824911,1182403.540999999735504,30,
Cornus alternifolia L. f.,DBGI_SPL_000493,,,,,,2578488.742000000085682,1182407.239000000059605,31,
Cornus sanguinea L.,DBGI_SPL_000406,,,,,,2578492.435000000055879,1182401.952999999979511,32,
Deutzia scabra Thunb. 'Pride of Rochester',DBGI_SPL_000481,,,,,,2578492.165000000037253,1182405.251000000163913,33,
Philadelphus coronarius L.,DBGI_SPL_000386,,,,,,2578493.444000000134110,1182407.057999999960884,34,
Kirengeshoma palmata Yatabe,DBGI_SPL_000426,,,,,,2578494.382999999914318,1182404.218000000109896,35,
Hydrangea arborescens subsp. discolor (Ser.) E.M. McClint.,DBGI_SPL_000450,,,,,,2578493.643000000156462,1182404.594000000040978,36,
Hydrangea paniculata Siebold 'Grandiflora',DBGI_SPL_000451,,,,,,2578494.490000000223517,1182404.821999999927357,37,
Hydrangea aspera D. Don,DBGI_SPL_000381,,,,,,2578495.342000000178814,1182405.816000000108033,38,
Hydrangea macrophylla (Murray) Ser.,DBGI_SPL_000504,,,,,,2578495.745000000111759,1182406.550000000046566,39,
Vitis labrusca L.,DBGI_SPL_000462,,,,,,2578498.279999999795109,1182403.505999999819323,40,
Vitis vulpina L.,DBGI_SPL_000446,,,,,,2578498.316999999806285,1182401.720999999903142,41,
Ampelopsis glandulosa var. brevipedunculata (Maxim.) Momiy.,DBGI_SPL_000443,,,,,,2578499.828000000212342,1182404.033999999752268,42,
Paeonia suffruticosa Andrews subsp. suffruticosa,DBGI_SPL_000380,,,,,,2578496.337999999988824,1182400.301999999908730,43,
Paeonia rockii D.Y.Hong,DBGI_SPL_000452,,,,,,2578496.973000000230968,1182400.287999999942258,44,
Paeonia mascula (L.) Mill. s.l.,DBGI_SPL_000403,,,,,,2578497.740999999921769,1182398.780999999959022,45,
Paeonia daurica subsp. mlokosewitschii (Lomakin) D.Y.Hong,DBGI_SPL_000383,,,,,,2578498.608000000007451,1182397.925000000046566,46,
Paeonia lutea Franch.,DBGI_SPL_000465,,,,,,2578499.660000000149012,1182396.904000000096858,47,
Corylopsis spicata Siebold et Zucc.,DBGI_SPL_000412,,,,,,2578501.455999999772757,1182395.357000000076368,48,
Parrotia persica (DC.) C.A. Mey.,DBGI_SPL_000502,,,,,,2578504.280999999959022,1182395.561999999918044,49,
Vitis vinifera L. subsp. vinifera,DBGI_SPL_000393,,,,,,2578500.478999999817461,1182399.816000000340864,50,
Liquidambar styraciflua L.,DBGI_SPL_000479,,,,,,2578503.887000000104308,1182392.286000000080094,51,
Fothergilla gardenii L.,DBGI_SPL_000468,,,,,,2578503.688999999780208,1182390.290000000037253,52,
Cercidiphyllum japonicum Sieb. et Zucc. MÃ¯Â¿Â½le,DBGI_SPL_000490,,,,,,2578507.367999999783933,1182390.610000000102445,53,
Ribes aureum Pursh,DBGI_SPL_000405,,,,,,2578505.455000000074506,1182386.250000000000000,54,
Ribes fasciculatum Siebold et Zucc.,DBGI_SPL_000382,,,,,,2578507.689000000245869,1182385.189999999944121,55,
Ribes nigrum L. 'Titania',DBGI_SPL_000394,,,,,,2578509.578000000212342,1182384.105999999912456,56,
Ribes rubrum L. 'Blanc de Versailles',DBGI_SPL_000438,,,,,,2578509.003000000491738,1182382.645000000018626,57,
Ribes uva-crispa var. sativum DC. 'HinnonmÃ¯Â¿Â½ki',DBGI_SPL_000458,,,,,,2578508.197999999858439,1182380.426999999908730,58,
Bergenia crassifolia (L.) Fritsch,DBGI_SPL_000395,,,,,,2578508.919000000227243,1182396.236999999964610,59,
Darmera peltata (Benth.) Voss,DBGI_SPL_000498,,,,,,2578506.660000000149012,1182398.864999999757856,60,
Astilbe japonica (C. Morren et Decne.) A.Gray,DBGI_SPL_000424,,,,,,2578506.220999999903142,1182399.155999999959022,61,
Tiarella cordifolia L.,DBGI_SPL_000497,,,,,,2578505.087999999988824,1182399.256999999983236,62,
Mitella caulescens Nutt.,DBGI_SPL_000469,,,,,,2578505.782000000122935,1182399.725000000093132,63,
Tolmiea menziesii (Pursh) Torr. et A. Gray.,DBGI_SPL_000389,,,,,,2578505.182999999728054,1182400.371999999973923,64,
Heuchera americana L. s.l.,DBGI_SPL_000501,,,,,,2578504.756000000052154,1182400.128000000026077,65,
Tellima grandiflora (Pursh) Lindl.,DBGI_SPL_000387,,,,,,2578504.578000000212342,1182399.689999999944121,66,
Saxifraga geranioides L.,DBGI_SPL_000402,,,,,,2578504.412000000011176,1182400.685999999986961,67,
Saxifraga hypnoides L.,DBGI_SPL_000448,,,,,,2578504.138999999966472,1182400.971000000135973,68,
Saxifraga hostii Tausch,DBGI_SPL_000404,,,,,,2578503.605000000447035,1182401.492000000085682,69,
Saxifraga marginata Sternb.,DBGI_SPL_000454,,,,,,2578503.474999999627471,1182400.614999999990687,70,
Saxifraga paniculata subsp. cartilaginea (Willd.) D.A. Webb,DBGI_SPL_000413,,,,,,2578504.002999999560416,1182400.293999999994412,71,
Chiastophyllum oppositifolium (Ledeb.) A.Berger,DBGI_SPL_000491,,,,,,2578502.348000000696629,1182401.996000000042841,72,
Sempervivum grandiflorum Haw.,DBGI_SPL_000447,,,,,,2578501.957000000402331,1182402.132999999914318,73,
Sempervivum tectorum L. subsp. tectorum,DBGI_SPL_000459,,,,,,2578502.182000000029802,1182401.753000000026077,74,
