fid,Plant_ID,spl_code,Airtable,unknown,x_coord,y_coord,UUID
"1",Impatiens balsamina L.,DBGI_SPL_000390,,,2578465.342,1182411.243,{be16c04d-8ddd-4fa3-bbbe-acbbde834627}
"2",Impatiens x new guinea,DBGI_SPL_000457,,,2578466.753,1182411.248,{8ead1ebe-de3a-4eb7-bd26-1a1087c58121}
"3",Aaunknown,DBGI_SPL_000475,,fleurs roses Ã  violettes,2578467.081,1182410.887,{d99131bf-9e68-482c-b2af-e3a232dec2ba}
"4",Cobaea scandens Cav.,DBGI_SPL_000474,,,2578469.196,1182410.172,{58680eeb-2fb7-4f69-b4d2-8d8e01ebce78}
"5",Phlox drummondii Hook.,DBGI_SPL_000470,,,2578469.323,1182409.731,{1ca477db-c3ab-4ce3-a861-3c89b635ff9d}
"6",Polemonium caeruleum L.,DBGI_SPL_000441,,,2578469.628,1182410.515,{ff4a627a-df7a-4f3a-a487-52c89b3fee7d}
"7",Phlox amplifolia Britton,DBGI_SPL_000460,,,2578470.286,1182410.597,{7213dbf9-0ff2-4a0d-930a-4c32aa5f2187}
"8",Gaultheria procumbens L.,DBGI_SPL_000476,,,2578471.251,1182409.023,{c5d1fa19-88cf-47e8-9e72-3c5bd539058b}
"9",Vaccinium corymbosum L. 'Patriot',DBGI_SPL_000471,,,2578471.516,1182409.202,{9c738771-29bb-42b0-af7a-8564dc220de8}
"10",,DBGI_SPL_000461,,PiÃ©ris selon Ã©criteau,2578472.71911344,1182408.66574449,{3e6e29aa-9195-42cc-a836-3cd0b87fcfb4}
"11",Erica terminalis Salisb.,DBGI_SPL_000439,,,2578474.026,1182408.553,{3f083952-bc1c-4b94-b011-0598717fa087}
"12",Erica vagans L.,DBGI_SPL_000482,,,2578474.215,1182408.003,{3ff317cc-cef2-452b-adc8-3843a149ef23}
"13",Lysimachia clethroides Duby,DBGI_SPL_000483,,,2578471.877,1182410.272,{574093fe-f0c3-46ad-aca8-19a10739582c}
"14",Lysimachia punctata L.,DBGI_SPL_000477,,,2578472.775,1182409.989,{11f9f620-a02a-41d7-9e7e-e92485da6eec}
"15",Primula veris L. subsp. veris,DBGI_SPL_000485,,,2578473.321,1182409.599,{77e9ce3d-c80d-4827-ba54-281b15129ed6}
"16",Primula auricula L.,DBGI_SPL_000440,,,2578473.64,1182409.552,{0955f297-834c-48b4-b674-c770fe850635}
"17",,DBGI_SPL_000437,,primula acaulis selon panneau,2578473.76979105,1182410.03857809,{34d08da1-c1b4-4917-8ca0-9fa368b7c15b}
"18",Androsace sempervivoides Duby,DBGI_SPL_000391,,,2578473.929,1182409.807,{5040f014-5210-4978-a0d6-0ab5e7110889}
"19",,DBGI_SPL_000442,,arbutus unedo selon panneau,2578473.39992787,1182408.33503562,{15c86b8e-8685-4940-a81d-726e0ebe27ef}
"20",Clethra alnifolia L.,DBGI_SPL_000492,,,2578475.572,1182408.079,{c646e8c6-a259-42da-9c26-377f406453d8}
"21",Cyrilla racemiflora L.,DBGI_SPL_000428,,,2578476.821,1182406.593,{831c0768-eaba-4eeb-bda3-2b38a463d488}
"22",Diospyros lotus L. Femelle,DBGI_SPL_000500,,,2578477.633,1182408.51,{ee8cfdba-794b-47e3-8e25-b7d9930de2bb}
"23",Actinidia kolomikta (Maxim. et Rupr.) Maxim.,DBGI_SPL_000449,,,2578478.623,1182406.332,{800fc9e2-8adf-4af1-81d1-3a7c9bf22059}
"24",Franklinia alatamaha Marshall,DBGI_SPL_000487,,,2578480.558,1182406.651,{81831c3a-321d-4921-9b75-0a23b93a8862}
"25",Stewartia pseudocamellia var. koreana ( Rehder) Sealy,DBGI_SPL_000430,,,2578479.767,1182409.207,{36908d71-e686-4ada-82f7-f6817649de3d}
"26",Halesia carolina L.,DBGI_SPL_000410,,,2578481.818,1182408.735,{494aca31-554b-4c8c-a00b-0da46abb91c9}
"27",Pterostyrax hispida Siebold et Zucc.,DBGI_SPL_000466,,,2578483.221,1182406.766,{5a77e6c8-5abd-4755-bfe2-3cca3011bd29}
"28",Sinojackia rehderiana Hu,DBGI_SPL_000499,,,2578485.651,1182408.027,{9fbeb7c9-5b10-47db-953c-b623a542bf1f}
"29",Cornus florida fo. rubra (Weston) Schelle,DBGI_SPL_000425,,,2578486.03,1182404.985,{8f35d02e-d286-41cb-83b0-b1f025e7d136}
"30",Davidia involucrata Baill. s.l.,DBGI_SPL_000434,,,2578488.962,1182403.541,{4563da82-75d1-40e2-9edc-22f6e483595a}
"31",Cornus alternifolia L. f.,DBGI_SPL_000493,,,2578488.742,1182407.239,{abf1b233-ac74-41db-80ac-52a0535017e6}
"32",Cornus sanguinea L.,DBGI_SPL_000406,,,2578492.435,1182401.953,{43eda29b-d5c4-4acb-ae82-1881f3693870}
"33",Deutzia scabra Thunb. 'Pride of Rochester',DBGI_SPL_000481,,,2578492.165,1182405.251,{d706c669-9430-4e58-8609-15d2984d5e5c}
"34",Philadelphus coronarius L.,DBGI_SPL_000386,,,2578493.444,1182407.058,{911d62b6-57ba-4374-a5c6-4c6dca4bfca4}
"35",Kirengeshoma palmata Yatabe,DBGI_SPL_000426,,,2578494.383,1182404.218,{eb129202-66c8-4bf7-861b-242a543e521a}
"36",Hydrangea arborescens subsp. discolor (Ser.) E.M. McClint.,DBGI_SPL_000450,,,2578493.643,1182404.594,{1006a9d3-3536-460a-84cd-96969236b325}
"37",Hydrangea paniculata Siebold 'Grandiflora',DBGI_SPL_000451,,,2578494.49,1182404.822,{50d17e7e-37dd-4059-8b05-2771da165173}
"38",Hydrangea aspera D. Don,DBGI_SPL_000381,,,2578495.342,1182405.816,{c382e5b6-bbcf-423e-8bed-f59e3bd9d8e3}
"39",Hydrangea macrophylla (Murray) Ser.,DBGI_SPL_000504,,,2578495.745,1182406.55,{f182fe17-a451-4b22-811d-9070d41e9ee0}
"40",Vitis labrusca L.,DBGI_SPL_000462,,,2578498.28,1182403.506,{0c658c9c-6f18-4216-9358-bdffd2552e1c}
"41",Vitis vulpina L.,DBGI_SPL_000446,,,2578498.317,1182401.721,{8a260e13-1a27-451b-9e94-66aaee69fa1d}
"42",Ampelopsis glandulosa var. brevipedunculata (Maxim.) Momiy.,DBGI_SPL_000443,,,2578499.828,1182404.034,{2ea78b85-3eab-40dd-bee8-a1376ee7c413}
"43",Paeonia suffruticosa Andrews subsp. suffruticosa,DBGI_SPL_000380,,,2578496.338,1182400.302,{2f9e109e-cbb7-4a20-9947-4f7cabb858d0}
"44",Paeonia rockii D.Y.Hong,DBGI_SPL_000452,,,2578496.973,1182400.288,{cb5a685d-a108-4839-aa15-048dada58368}
"45",Paeonia mascula (L.) Mill. s.l.,DBGI_SPL_000403,,,2578497.741,1182398.781,{3e237c8d-2249-4343-9ec7-a606c6cc1cf9}
"46",Paeonia daurica subsp. mlokosewitschii (Lomakin) D.Y.Hong,DBGI_SPL_000383,,,2578498.608,1182397.925,{6cd33629-c0e9-485f-90fb-3571c6195e5d}
"47",Paeonia lutea Franch.,DBGI_SPL_000465,,,2578499.66,1182396.904,{f671e9df-eb5d-483f-8381-ed61b1cc4764}
"48",Corylopsis spicata Siebold et Zucc.,DBGI_SPL_000412,,,2578501.456,1182395.357,{223836cf-0e2f-4e44-ab3d-3c86cafc5c33}
