"Plant_ID","Panel","General","Detail","Cut","Panel.Labe","x_coord","y_coord","fid","spl_code","mg"
"Physalis peruviana L.","DCIM/JPEG_20221124144122561.jpg","DCIM/JPEG_20221124144129063.jpg","DCIM/JPEG_20221124144135985.jpg","DCIM/JPEG_20221124144149084.jpg","DCIM/JPEG_20221124144155978.jpg",7.15703323959417,46.7919786696482,NA,"dbgi_000000","51.9"
"Cyclamen purpurascens Mill.","","","","","",7.15670293309791,46.7925001480748,166,"DBGI_SPL_000379","48.9"
"Paeonia suffruticosa Andrews subsp. suffruticosa","","","","","",7.15699225245191,46.7924187092436,43,"DBGI_SPL_000380","50.4"
"Hydrangea aspera D. Don","","","","","",7.15697894719995,46.7924682771914,38,"DBGI_SPL_000381","48.2"
"Ribes fasciculatum Siebold et Zucc.","","","","","",7.15714163324619,46.7922831397652,55,"DBGI_SPL_000382","50.9"
"Paeonia daurica subsp. mlokosewitschii (Lomakin) D.Y.Hong","","","","","",7.15702209558717,46.7923974009423,46,"DBGI_SPL_000383","moisi"
"Iris x germanica L.","","","","","",7.15664828150833,46.7924544507033,112,"DBGI_SPL_000384","51.4"
"Allium porrum L.","","","","","",7.15665111072509,46.7923871178105,140,"DBGI_SPL_000385","51.4"
"Philadelphus coronarius L.","","","","","",7.15695402980843,46.7924793878463,34,"DBGI_SPL_000386","49.7"
"Tellima grandiflora (Pursh) Lindl.","","","","","",7.15710020331839,46.7924134712106,66,"DBGI_SPL_000387","47.5"
"Allium fistulosum L.","","","","","",7.15666845097468,46.7923723183015,138,"DBGI_SPL_000388","52.3"
"Tolmiea menziesii (Pursh) Torr. et A. Gray.","","","","","",7.15710809501923,46.7924196256324,64,"DBGI_SPL_000389","50.7"
"Impatiens balsamina L.","","","","","",7.15658577043075,46.7925161214493,1,"DBGI_SPL_000390","50.3"
"Androsace sempervivoides Duby","","","","","",7.15669830525201,46.7925034829125,18,"DBGI_SPL_000391","50.5"
"Arum italicum Mill.","","","","","",7.15677776182239,46.792292664623,127,"DBGI_SPL_000392","51.6"
"Vitis vinifera L. subsp. vinifera","","","","","",7.15704651142732,46.7924144717615,50,"DBGI_SPL_000393","52.1"
"Ribes nigrum L. 'Titania'","","","","","",7.15716642517843,46.7922734500394,56,"DBGI_SPL_000394","48.6"
"Bergenia crassifolia (L.) Fritsch","","","","","",7.15715722172731,46.7923825510179,59,"DBGI_SPL_000395","48.1"
"Phyllitis scolopendrium (L.) Newman","","","","","",7.15688136932004,46.7923787377998,92,"DBGI_SPL_000396","50"
"Iris lutescens Lam.","","","","","",7.15666605598962,46.7924243150363,120,"DBGI_SPL_000397","51.9"
"Baldellia ranunculoides (L.) Parl.","","","","","",7.156762115642,46.7923116062507,125,"DBGI_SPL_000398","49"
"Juniperus communis L. subsp. communis","","","","","",7.15701269656186,46.7923415429477,84,"DBGI_SPL_000399","52.2"
"Asarum caudatum Lindl.","","","","","",7.15684658035236,46.7923317313975,108,"DBGI_SPL_000400","52.1"
"Calycanthus chinensis (W.C. Cheng et S.Y. Chang) P.T. Li","","","","","",7.15677271063491,46.7924065344495,102,"DBGI_SPL_000401","51.2"
"Saxifraga geranioides L.","","","","","",7.15709798216128,46.7924224251778,67,"DBGI_SPL_000402","52.2"
"Paeonia mascula (L.) Mill. s.l.","","","","","",7.15701069980119,46.7924050728358,45,"DBGI_SPL_000403","52"
"Saxifraga hostii Tausch","","","","","",7.15708737458026,46.7924296492571,69,"DBGI_SPL_000404","48.4"
"Ribes aureum Pursh","","","","","",7.15711232386974,46.7922926024169,54,"DBGI_SPL_000405","51.9"
"Cornus sanguinea L.","","","","","",7.15694105562598,46.7924334339755,32,"DBGI_SPL_000406","47.7"
"Chamaerops humilis L.","","","","","",7.15672400975234,46.7923051430614,131,"DBGI_SPL_000407","50.3"
"Lilium regale E.H. Wilson","","","","","",7.15669729513436,46.792369160418,124,"DBGI_SPL_000408","50"
"Tradescantia virginiana L.","","","","","",7.15674050503767,46.7922966022778,130,"DBGI_SPL_000409","48.6"
"Halesia carolina L.","","","","","",7.15680168087801,46.7924940959187,26,"DBGI_SPL_000410","49.6"
"Sciadopitys verticillata (Thunb.) Siebold & Zucc.","","","","","",7.15704015412743,46.7923063950253,88,"DBGI_SPL_000411","48.1"
"Corylopsis spicata Siebold et Zucc.","","","","","",7.15705951796309,46.7923743932612,48,"DBGI_SPL_000412","50.4"
"Saxifraga paniculata subsp. cartilaginea (Willd.) D.A. Webb","","","","","",7.15709264385221,46.7924188857531,71,"DBGI_SPL_000413","47.8"
"Picea omorika (Pancic) Purk.","","","","","",7.15696749391456,46.7923471521516,82,"DBGI_SPL_000414","49.8"
"Dryopteris filix-mas (L.) Schott","","","","","",7.15686583547908,46.7923638118677,96,"DBGI_SPL_000415","51.1"
"Bulbine semibarbata (R. Br.) Haw.","","","","","",7.15662632280008,46.7924209422149,144,"DBGI_SPL_000416","48"
"Sagittaria sagittifolia L.","","","","","",7.15675519656126,46.7923073072764,126,"DBGI_SPL_000417","50.9"
"Ornithogalum viridiflorum (I.Verd.) J.C.Manning  Goldblatt","","","","","",7.15668344340708,46.792345692956,134,"DBGI_SPL_000418","52.4"
"Musa basjoo Iinuma","","","","","",7.15675260136444,46.7922852260231,129,"DBGI_SPL_000419","51.3"
"Pinus mugo subsp. uncinata (DC.) Domin","","","","","",7.1569276829413,46.7923511195258,80,"DBGI_SPL_000420","47.8"
"Dryopteris dilatata (Hoffm.) A. Gray","","","","","",7.15688064197796,46.7923650989033,95,"DBGI_SPL_000421","50.1"
"Podocarpus nivalis Hook.","","","","","",7.15696400060768,46.7923214884927,85,"DBGI_SPL_000422","51.6"
"Catalpa ovata G. Don","","","","","",7.15686098174868,46.7923927112085,90,"DBGI_SPL_000423","48.9"
"Astilbe japonica (C. Morren et Decne.) A.Gray","","","","","",7.15712174742411,46.7924087209525,61,"DBGI_SPL_000424","51.2"
"Cornus florida fo. rubra (Weston) Schelle","","","","","",7.15685702401422,46.7924605000785,29,"DBGI_SPL_000425","47.6"
"Kirengeshoma palmata Yatabe","","","","","",7.15696646229454,46.7924538715615,35,"DBGI_SPL_000426","50.7"
"Sedum rupestre L.","","","","","",7.15706266893195,46.7924328624587,77,"DBGI_SPL_000427","49.7"
"Cyrilla racemiflora L.","","","","","",7.15673633464663,46.7924746657837,21,"DBGI_SPL_000428","48.9"
"Ornithogalum regale (Hilliard et B.L. Burtt) J.C. Manning et Goldblatt","","","","","",7.15669005708323,46.7923482910386,135,"DBGI_SPL_000429","47.6"
"Stewartia pseudocamellia var. koreana ( Rehder) Sealy","","","","","",7.1567747959211,46.7924982751677,25,"DBGI_SPL_000430","49"
"Schisandra chinensis (Turcz.) Baill. monoÂ¯que","","","","","",7.15680343312265,46.7923644488309,106,"DBGI_SPL_000431","50.8"
"Cephalotaxus harringtonii (J. Forbes) K. Koch","","","","","",7.15698923215582,46.7923603123309,83,"DBGI_SPL_000432","52.2"
"Muscari neglectum Ten.","","","","","",7.15669303682903,46.7923445383265,133,"DBGI_SPL_000433","49.2"
"Davidia involucrata Baill. s.l.","","","","","",7.15689549360139,46.7924476059252,30,"DBGI_SPL_000434","51"
"Iris tectorum Maxim.","","","","","",7.15665804769696,46.7924204181517,121,"DBGI_SPL_000435","51.8"
