x_coord;y_coord;spl_code;Plant_ID;ipen;match_name;ott_id;rank;wikidataID;unknown;UUID;Airtable
7.156702933;46.79250015;DBGI_SPL_000379;Cyclamen purpurascens Mill.;XX 0 FRIBG 10002824;Cyclamen purpurascens;477901;species;http://www.wikidata.org/entity/Q149344;;{15e10307-9d22-494a-a1c8-a680dddd351c};NA
7.156992252;46.79241871;DBGI_SPL_000380;Paeonia suffruticosa Andrews subsp. suffruticosa;XX 0 FRIBG 20150372;Paeonia suffruticosa;137620;species;http://www.wikidata.org/entity/Q163018;;{2f9e109e-cbb7-4a20-9947-4f7cabb858d0};NA
7.156978947;46.79246828;DBGI_SPL_000381;Hydrangea aspera D. Don;XX 0 FRIBG 20190227;Hydrangea aspera;337774;species;http://www.wikidata.org/entity/Q1332124;;{c382e5b6-bbcf-423e-8bed-f59e3bd9d8e3};NA
7.157141633;46.79228314;DBGI_SPL_000382;Ribes fasciculatum Siebold et Zucc.;XX 0 MJG 199811602;Ribes fasciculatum;852529;species;;;{65eb0675-5670-4c9a-badc-8b703f5afd62};NA
7.157022096;46.7923974;DBGI_SPL_000383;Paeonia daurica subsp. mlokosewitschii (Lomakin) D.Y.Hong;XX 0 FRIBG 20160364;Paeonia daurica;825490;species;http://www.wikidata.org/entity/Q1307422;;{6cd33629-c0e9-485f-90fb-3571c6195e5d};NA
7.156648282;46.79245445;DBGI_SPL_000384;Iris x germanica L.;XX 0 FRIBG 10001420;Iris haynei;472928;species;;;{1e08558c-a349-4262-8eb6-c9752e16109b};NA
7.156651111;46.79238712;DBGI_SPL_000385;Allium porrum L.;;Allium nigrum;679985;species;http://www.wikidata.org/entity/Q161316;;{140f15cf-0fa3-423f-9079-3bcdf77cc7f1};NA
7.15695403;46.79247939;DBGI_SPL_000386;Philadelphus coronarius L.;XX 0 FRIBG 20150355;Philadelphus coronarius;3900147;species;http://www.wikidata.org/entity/Q163791;;{911d62b6-57ba-4374-a5c6-4c6dca4bfca4};NA
7.157100203;46.79241347;DBGI_SPL_000387;Tellima grandiflora (Pursh) Lindl.;XX 0 FRIBG 20200034;Tellima grandiflora;182588;species;http://www.wikidata.org/entity/Q847750;;{04b80a29-2360-428f-8cb7-efd1d3abc178};NA
7.156668451;46.79237232;DBGI_SPL_000388;Allium fistulosum L.;XX 0 FRIBG 20140564;Allium fistulosum;856720;species;http://www.wikidata.org/entity/Q27938;;{a1a359e3-74c5-4aeb-a34b-81f57bf72b8d};NA
7.157108095;46.79241963;DBGI_SPL_000389;Tolmiea menziesii (Pursh) Torr. et A. Gray.;US 0 M 2008/0582;Tolmiea menziesii;182586;species;;;{98d51030-630e-4d62-9b5e-d95018b619ba};NA
7.15658577;46.79251612;DBGI_SPL_000390;Impatiens balsamina L.;XX 0 FRIBG 10000058;Impatiens balsamina;326129;species;http://www.wikidata.org/entity/Q845019;;{be16c04d-8ddd-4fa3-bbbe-acbbde834627};NA
7.156698305;46.79250348;DBGI_SPL_000391;Androsace sempervivoides Duby;XX 0 FRIBG 20180034;Androsace sempervivoides;1054537;species;;;{5040f014-5210-4978-a0d6-0ab5e7110889};NA
7.156777762;46.79229266;DBGI_SPL_000392;Arum italicum Mill.;XX 0 FRIBG 10000650;Arum italicum;17921;species;http://www.wikidata.org/entity/Q30968;;{d209d757-c946-45c5-8efe-70a6b8fbede8};NA
7.157046511;46.79241447;DBGI_SPL_000393;Vitis vinifera L. subsp. vinifera;IT 0 P 2013g090;Vitis vinifera;756728;species;http://www.wikidata.org/entity/Q30046;;{398bf57f-54ea-459b-83bb-a5a84605c0da};NA
7.157166425;46.79227345;DBGI_SPL_000394;Ribes nigrum L. 'Titania';XX 0 FRIBG 19940510;Ribes nigrum;248647;species;http://www.wikidata.org/entity/Q146604;;{e7baa7cc-1625-49f7-99ec-19f318c8ab95};NA
7.157157222;46.79238255;DBGI_SPL_000395;Bergenia crassifolia (L.) Fritsch;XX 0 FRIBG 10002802;Bergenia crassifolia;756735;species;http://www.wikidata.org/entity/Q162752;;{bfebcc39-deed-4b63-b9df-0e1fa2b97a5c};NA
7.156881369;46.79237874;DBGI_SPL_000396;Phyllitis scolopendrium (L.) Newman;XX 0 FRIBG 10002889;Phyllitis scolopendrium;905814;species;http://www.wikidata.org/entity/Q1130272;;{e70eb05d-d76a-4495-bf46-159b06b46bd1};NA
7.156666056;46.79242432;DBGI_SPL_000397;Iris lutescens Lam.;XX 0 FRIBG 20080132;Iris lutescens;165869;species;;;{c2f451b3-ec0d-4f33-9279-859918693aa5};NA
7.156762116;46.79231161;DBGI_SPL_000398;Baldellia ranunculoides (L.) Parl.;CH 0 FRIBG 20010434;Baldellia ranunculoides;817743;species;;;{fa75ae67-f308-4c93-afdf-e86686e5ea65};NA
7.157012697;46.79234154;DBGI_SPL_000399;Juniperus communis L. subsp. communis;CH 0 FRIBG 20070505;Juniperus communis;582859;species;http://www.wikidata.org/entity/Q26325;;{8c5ef70c-fde8-4143-a5b7-4ae6fe28f73c};NA
7.15684658;46.79233173;DBGI_SPL_000400;Asarum caudatum Lindl.;XX 0 FRIBG 19910363;Asarum caudatum;513165;species;http://www.wikidata.org/entity/Q4803629;;{ee3192b8-8c54-4653-aa13-ba1260244ae8};NA
7.156772711;46.79240653;DBGI_SPL_000401;Calycanthus chinensis (W.C. Cheng et S.Y. Chang) P.T. Li;XX 0 FRIBG 20040554;Calycanthus chinensis;913239;species;http://www.wikidata.org/entity/Q11739000;;{fd0f9c96-4af6-4fd9-bd8b-3fd2cf75d83f};NA
7.157097982;46.79242243;DBGI_SPL_000402;Saxifraga geranioides L.;XX 0 B 0270601;Saxifraga geranioides;306227;species;;;{4a256b99-9a07-4370-b72d-05d8262b9923};NA
7.1570107;46.79240507;DBGI_SPL_000403;Paeonia mascula (L.) Mill. s.l.;XX 0 FRIBG 19970599;Paeonia mascula;163414;species;;;{3e237c8d-2249-4343-9ec7-a606c6cc1cf9};NA
7.157087375;46.79242965;DBGI_SPL_000404;Saxifraga hostii Tausch;XX 0 FRIBG 10002925;Saxifraga hostii;1071846;species;;;{e79235d1-6195-4747-a7d3-43dfe52caaab};NA
7.157112324;46.7922926;DBGI_SPL_000405;Ribes aureum Pursh;XX 0 FRIBG 20170331;Ribes aureum;64564;species;http://www.wikidata.org/entity/Q149376;;{f32d351e-3e9f-4844-b29d-9b6a18ff950d};NA
7.156941056;46.79243343;DBGI_SPL_000406;Cornus sanguinea L.;CH 0 FRIBG 20020117;Cornus sanguinea;21994;species;;;{43eda29b-d5c4-4acb-ae82-1881f3693870};NA
7.15672401;46.79230514;DBGI_SPL_000407;Chamaerops humilis L.;XX 0 FRIBG 10002815;Chamaerops humilis;452733;species;;;{d4f0392c-fdf8-44f8-8020-5291f00ed490};NA
7.156697295;46.79236916;DBGI_SPL_000408;Lilium regale E.H. Wilson;XX 0 MJG 19--67000;Lilium regale;690489;species;http://www.wikidata.org/entity/Q1639505;;{2a502b28-8ade-4b84-826e-8032d1c10c41};NA
7.156740505;46.7922966;DBGI_SPL_000409;Tradescantia virginiana L.;XX 0 FRIBG 10002384;Tradescantia virginiana;17935;species;http://www.wikidata.org/entity/Q2078366;;{180f3a0e-15a9-4db4-bbf9-21cc714a22b2};NA
7.156801681;46.7924941;DBGI_SPL_000410;Halesia carolina L.;CH 0 FRIBG 20080445;Halesia carolina;250762;species;;;{494aca31-554b-4c8c-a00b-0da46abb91c9};NA
7.15704015;46.79230639;DBGI_SPL_000411;Sciadopitys verticillata (Thunb.) Siebold  Zucc.;XX 0 FRIBG 10002197;Sciadopitys verticillata;164658;species;http://www.wikidata.org/entity/Q161648;;{9de1fd8b-3ab5-4671-ad48-a833c4709141};NA
7.157059518;46.79237439;DBGI_SPL_000412;Corylopsis spicata Siebold et Zucc.;XX 0 FRIBG 20030892;Corylopsis spicata;467498;species;;;{223836cf-0e2f-4e44-ab3d-3c86cafc5c33};NA
7.157092644;46.79241889;DBGI_SPL_000413;Saxifraga paniculata subsp. cartilaginea (Willd.) D.A. Webb;XX 0 FRIBG 10002181;Saxifraga paniculata;495623;species;;;{c46b2a5b-106a-4337-a5c1-c4b05704ffe4};NA
7.156967494;46.79234715;DBGI_SPL_000414;Picea omorika (Pancic) Purk.;XX 0 FRIBG 20150331;Picea omorika;771684;species;http://www.wikidata.org/entity/Q147824;;{dfbabab5-af56-4581-ac80-d1db65ef8457};NA
7.156865835;46.79236381;DBGI_SPL_000415;Dryopteris filix-mas (L.) Schott;XX 0 FRIBG 10001095;Dryopteris filix-mas;41613;species;http://www.wikidata.org/entity/Q322994;;{22b3b237-7a9e-4082-a014-d9d44bb20c87};NA
7.156626323;46.79242094;DBGI_SPL_000416;Bulbine semibarbata (R. Br.) Haw.;XX 0 FRIBG 10000096;Bulbine semibarbata;626416;species;;;{2082f709-bf6c-45d9-a2bd-80e5b7b20149};NA
