mg;Plant_ID;spl_code;Airtable;unknown;x_coord;y_coord;UUID
51.9;Cyclamen purpurascens Mill.;DBGI_SPL_000379;;;7.156702933;46.79250015;{15e10307-9d22-494a-a1c8-a680dddd351c}
48.9;Paeonia suffruticosa Andrews subsp. suffruticosa;DBGI_SPL_000380;;;7.156992252;46.79241871;{2f9e109e-cbb7-4a20-9947-4f7cabb858d0}
50.4;Hydrangea aspera D. Don;DBGI_SPL_000381;;;7.156978947;46.79246828;{c382e5b6-bbcf-423e-8bed-f59e3bd9d8e3}
48.2;Ribes fasciculatum Siebold et Zucc.;DBGI_SPL_000382;;;7.157141633;46.79228314;{65eb0675-5670-4c9a-badc-8b703f5afd62}
50.9;Paeonia daurica subsp. mlokosewitschii (Lomakin) D.Y.Hong;DBGI_SPL_000383;;;7.157022096;46.7923974;{6cd33629-c0e9-485f-90fb-3571c6195e5d}
moisi;Iris x germanica L.;DBGI_SPL_000384;;;7.156648282;46.79245445;{1e08558c-a349-4262-8eb6-c9752e16109b}
51.4;Allium porrum L.;DBGI_SPL_000385;;;7.156651111;46.79238712;{140f15cf-0fa3-423f-9079-3bcdf77cc7f1}
51.4;Philadelphus coronarius L.;DBGI_SPL_000386;;;7.15695403;46.79247939;{911d62b6-57ba-4374-a5c6-4c6dca4bfca4}
49.7;Tellima grandiflora (Pursh) Lindl.;DBGI_SPL_000387;;;7.157100203;46.79241347;{04b80a29-2360-428f-8cb7-efd1d3abc178}
47.5;Allium fistulosum L.;DBGI_SPL_000388;;;7.156668451;46.79237232;{a1a359e3-74c5-4aeb-a34b-81f57bf72b8d}
52.3;Tolmiea menziesii (Pursh) Torr. et A. Gray.;DBGI_SPL_000389;;;7.157108095;46.79241963;{98d51030-630e-4d62-9b5e-d95018b619ba}
50.7;Impatiens balsamina L.;DBGI_SPL_000390;;;7.15658577;46.79251612;{be16c04d-8ddd-4fa3-bbbe-acbbde834627}
50.3;Androsace sempervivoides Duby;DBGI_SPL_000391;;;7.156698305;46.79250348;{5040f014-5210-4978-a0d6-0ab5e7110889}
50.5;Arum italicum Mill.;DBGI_SPL_000392;;;7.156777762;46.79229266;{d209d757-c946-45c5-8efe-70a6b8fbede8}
51.6;Vitis vinifera L. subsp. vinifera;DBGI_SPL_000393;;;7.157046511;46.79241447;{398bf57f-54ea-459b-83bb-a5a84605c0da}
52.1;Ribes nigrum L. 'Titania';DBGI_SPL_000394;;;7.157166425;46.79227345;{e7baa7cc-1625-49f7-99ec-19f318c8ab95}
48.6;Bergenia crassifolia (L.) Fritsch;DBGI_SPL_000395;;;7.157157222;46.79238255;{bfebcc39-deed-4b63-b9df-0e1fa2b97a5c}
48.1;Phyllitis scolopendrium (L.) Newman;DBGI_SPL_000396;;;7.156881369;46.79237874;{e70eb05d-d76a-4495-bf46-159b06b46bd1}
50;Iris lutescens Lam.;DBGI_SPL_000397;;;7.156666056;46.79242432;{c2f451b3-ec0d-4f33-9279-859918693aa5}
51.9;Baldellia ranunculoides (L.) Parl.;DBGI_SPL_000398;;;7.156762116;46.79231161;{fa75ae67-f308-4c93-afdf-e86686e5ea65}
49;Juniperus communis L. subsp. communis;DBGI_SPL_000399;;;7.157012697;46.79234154;{8c5ef70c-fde8-4143-a5b7-4ae6fe28f73c}
52.2;Asarum caudatum Lindl.;DBGI_SPL_000400;;;7.15684658;46.79233173;{ee3192b8-8c54-4653-aa13-ba1260244ae8}
52.1;Calycanthus chinensis (W.C. Cheng et S.Y. Chang) P.T. Li;DBGI_SPL_000401;;;7.156772711;46.79240653;{fd0f9c96-4af6-4fd9-bd8b-3fd2cf75d83f}
51.2;Saxifraga geranioides L.;DBGI_SPL_000402;;;7.157097982;46.79242243;{4a256b99-9a07-4370-b72d-05d8262b9923}
52.2;Paeonia mascula (L.) Mill. s.l.;DBGI_SPL_000403;;;7.1570107;46.79240507;{3e237c8d-2249-4343-9ec7-a606c6cc1cf9}
52;Saxifraga hostii Tausch;DBGI_SPL_000404;;;7.157087375;46.79242965;{e79235d1-6195-4747-a7d3-43dfe52caaab}
48.4;Ribes aureum Pursh;DBGI_SPL_000405;;;7.157112324;46.7922926;{f32d351e-3e9f-4844-b29d-9b6a18ff950d}
51.9;Cornus sanguinea L.;DBGI_SPL_000406;;;7.156941056;46.79243343;{43eda29b-d5c4-4acb-ae82-1881f3693870}
47.7;Chamaerops humilis L.;DBGI_SPL_000407;;;7.15672401;46.79230514;{d4f0392c-fdf8-44f8-8020-5291f00ed490}
50.3;Lilium regale E.H. Wilson;DBGI_SPL_000408;;;7.156697295;46.79236916;{2a502b28-8ade-4b84-826e-8032d1c10c41}
50;Tradescantia virginiana L.;DBGI_SPL_000409;;;7.156740505;46.7922966;{180f3a0e-15a9-4db4-bbf9-21cc714a22b2}
48.6;Halesia carolina L.;DBGI_SPL_000410;;;7.156801681;46.7924941;{494aca31-554b-4c8c-a00b-0da46abb91c9}
49.6;Sciadopitys verticillata (Thunb.) Siebold & Zucc.;DBGI_SPL_000411;;;7.157040154;46.7923064;{189b00fa-9e35-4a0d-837e-d19de44ec441}
48.1;Corylopsis spicata Siebold et Zucc.;DBGI_SPL_000412;;;7.157059518;46.79237439;{223836cf-0e2f-4e44-ab3d-3c86cafc5c33}
