"Plant_ID","Panel","General","Detail","Cut","Panel.Label","x_coord","y_coord","fid","spl_code","mg"
"","","","","","",7.15574837028373,46.7931196918804,113,"",NA
"Euphorbia milii Des Moul. var. milii","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Panel.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_General.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Detail.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Cut.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Panel+Label.jpg",7.1556523906501,46.7931076303424,85,"dbgi_000126",NA
"Euphorbia grandidens Haw.","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Panel.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_General.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Detail.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Cut.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Panel+Label.jpg",7.15573343083816,46.7930988404328,80,"dbgi_000127",NA
"Selenicereus coniflorus Britt. et Rose","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Panel.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_General.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Detail.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Cut.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Panel+Label.jpg",7.15581009695961,46.7930806976046,74,"dbgi_000128",NA
"Pelargonium caffrum (Eckl. et Zeyh.) Harv.","DCIM/Succulent_greenhouse/Pelargonium caffrum (Eckl. et Zeyh.) Harv._dbgi_000129_Panel.jpg","DCIM/Succulent_greenhouse/Pelargonium caffrum (Eckl. et Zeyh.) Harv._dbgi_000129_General.jpg","DCIM/Succulent_greenhouse/Pelargonium caffrum (Eckl. et Zeyh.) Harv._dbgi_000129_Detail.jpg","DCIM/Succulent_greenhouse/Pelargonium caffrum (Eckl. et Zeyh.) Harv._dbgi_000129_Cut.jpg","DCIM/Succulent_greenhouse/Pelargonium caffrum (Eckl. et Zeyh.) Harv._dbgi_000129_Panel+Label.jpg",7.15569239050759,46.7931157898057,95,"dbgi_000129",NA
"Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_General.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Panel+Label.jpg",7.155601580798,46.7930961265693,70,"dbgi_000506",NA
"Sansevieria cylindrica Bojer","DCIM/Succulent_greenhouse/Sansevieria cylindrica Bojer_dbgi_000512_Panel.jpg","DCIM/Succulent_greenhouse/Sansevieria cylindrica Bojer_dbgi_000512_General.jpg","DCIM/Succulent_greenhouse/Sansevieria cylindrica Bojer_dbgi_000512_Detail.jpg","DCIM/Succulent_greenhouse/Sansevieria cylindrica Bojer_dbgi_000512_Cut.jpg","DCIM/Succulent_greenhouse/Sansevieria cylindrica Bojer_dbgi_000512_Panel+Label.jpg",7.15572644191157,46.7931110045657,98,"dbgi_000512",NA
"Selenicereus hamatus (Scheidw.) Britton et Rose","DCIM/Succulent_greenhouse/Selenicereus hamatus (Scheidw.) Britton et Rose_dbgi_000515_Panel.jpg","DCIM/Succulent_greenhouse/Selenicereus hamatus (Scheidw.) Britton et Rose_dbgi_000515_General.jpg","DCIM/Succulent_greenhouse/Selenicereus hamatus (Scheidw.) Britton et Rose_dbgi_000515_Detail.jpg","DCIM/Succulent_greenhouse/Selenicereus hamatus (Scheidw.) Britton et Rose_dbgi_000515_Cut.jpg","DCIM/Succulent_greenhouse/Selenicereus hamatus (Scheidw.) Britton et Rose_dbgi_000515_Panel+Label.jpg",7.15581369557891,46.7930997197979,103,"dbgi_000515",NA
"Pelargonium myrrhifolium (L.) L' Hr.","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Panel.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_General.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Detail.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Cut.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Panel+Label.jpg",7.15561549969175,46.7931004710995,66,"dbgi_000562",NA
"Selenicereus grandiflorus Br. et R.","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Panel.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_General.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Detail.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Cut.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Panel+Label.jpg",7.15558762868325,46.79310828798,73,"dbgi_000870",NA
"Aeonium mascaense D. Bramwell","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_General.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Panel+Label.jpg",7.15560998102538,46.7930933147125,67,"dbgi_000879",NA
"Aeonium haworthii Webb et Berthel.","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_General.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Panel+Label.jpg",7.1555923303998,46.7930966437636,71,"dbgi_000901",NA
"Dracaena draco (L.) L.","DCIM/Succulent_greenhouse/Dracaena draco (L.) L._dbgi_000902_Panel.jpg","DCIM/Succulent_greenhouse/Dracaena draco (L.) L._dbgi_000902_General.jpg","DCIM/Succulent_greenhouse/Dracaena draco (L.) L._dbgi_000902_Detail.jpg","DCIM/Succulent_greenhouse/Dracaena draco (L.) L._dbgi_000902_Cut.jpg","DCIM/Succulent_greenhouse/Dracaena draco (L.) L._dbgi_000902_Panel+Label.jpg",7.15561049291093,46.7931142954632,89,"dbgi_000902",NA
"Simmondsia chinensis (Link) C.K. Schneid.","DCIM/Succulent_greenhouse/Simmondsia chinensis (Link) C.K. Schneid._dbgi_000905_Panel.jpg","DCIM/Succulent_greenhouse/Simmondsia chinensis (Link) C.K. Schneid._dbgi_000905_General.jpg","DCIM/Succulent_greenhouse/Simmondsia chinensis (Link) C.K. Schneid._dbgi_000905_Detail.jpg","DCIM/Succulent_greenhouse/Simmondsia chinensis (Link) C.K. Schneid._dbgi_000905_Cut.jpg","DCIM/Succulent_greenhouse/Simmondsia chinensis (Link) C.K. Schneid._dbgi_000905_Panel+Label.jpg",7.15580157543432,46.7930994044535,102,"dbgi_000905",NA
