"fid","Panel","General","Detail","Cut","Panel.Label","Plant_ID","spl_code","x_coord","y_coord","mg"
"1","DCIM/JPEG_20230207125354478.jpg","DCIM/JPEG_20230207125420052.jpg","DCIM/JPEG_20230207125437941.jpg","DCIM/Stephanie_sampleCotinus coggygria Scop. 'Purpureus'dbgi_000909DCIM/JPEG_20230207125509993.jpg.jpg","DCIM/JPEG_20230207125543410.jpg","Cotinus coggygria Scop. 'Purpureus'","dbgi_000909","7.15549712160495","46.7929275743982","NA"
"8","DCIM/JPEG_20230207131535847.jpg","DCIM/JPEG_20230207131558826.jpg","DCIM/JPEG_20230207131639037.jpg","DCIM/JPEG_20230207131711951.jpg","DCIM/JPEG_20230207131617543.jpg","Pistacia vera L. Femelle","dbgi_000914","7.15507171746993","46.7931423277083","NA"
"5","DCIM/JPEG_20230207133016886.jpg","DCIM/JPEG_20230207132901346.jpg","DCIM/JPEG_20230207132919342.jpg","DCIM/JPEG_20230207132937123.jpg","DCIM/JPEG_20230207133005178.jpg","Schinus molle L. var. molle","dbgi_000985","7.15509231607123","46.7931400949589","NA"
"4","DCIM/JPEG_20230207132347602.jpg","DCIM/JPEG_20230207132600112.jpg","DCIM/JPEG_20230207132506713.jpg","DCIM/JPEG_20230207132527084.jpg","DCIM/JPEG_20230207132400314.jpg","Schinus molle L. var. molle","dbgi_001009","7.15509469774434","46.7931390055369","NA"
"7","DCIM/JPEG_20230207130149589.jpg","DCIM/JPEG_20230207130208139.jpg","DCIM/JPEG_20230207130306128.jpg","DCIM/JPEG_20230207130344662.jpg","DCIM/JPEG_20230207130240725.jpg","Mangifera indica L.","dbgi_001015","7.15597784077214","46.7926911739236","NA"
"17","DCIM/JPEG_20230223114542353.jpg","DCIM/JPEG_20230223114559418.jpg","DCIM/JPEG_20230223114618419.jpg","DCIM/JPEG_20230223114647001.jpg","DCIM/JPEG_20230223114703631.jpg","Lenophyllum texanum (J.G. Sm.) Rose","dbgi_000913","7.15579449570486","46.7930713221936","NA"
"20","DCIM/JPEG_20230223115855405.jpg","DCIM/JPEG_20230223115903162.jpg","DCIM/JPEG_20230223115916926.jpg","DCIM/JPEG_20230223115924726.jpg","DCIM/JPEG_20230223115944556.jpg","Pachyphytum compactum Rose","dbgi_000915","7.15577912141485","46.7930712839729","NA"
"12","DCIM/JPEG_20230223105038604.jpg","DCIM/JPEG_20230223105102627.jpg","DCIM/JPEG_20230223105126941.jpg","DCIM/JPEG_20230223105202803.jpg","DCIM/JPEG_20230223105240092.jpg","Sedum treleasei Rose","dbgi_000917","7.15580757098494","46.7930694605005","NA"
"13","DCIM/JPEG_20230223112147003.jpg","DCIM/JPEG_20230223112211526.jpg","DCIM/JPEG_20230223112219939.jpg","DCIM/JPEG_20230223112247753.jpg","DCIM/JPEG_20230223112259416.jpg","Sedum rubrotinctum R.T. Clausen","dbgi_000919","7.15580422250843","46.7930713837471","NA"
"14","DCIM/JPEG_20230223112906489.jpg","DCIM/JPEG_20230223112943216.jpg","DCIM/JPEG_20230223112956522.jpg","DCIM/JPEG_20230223113028144.jpg","DCIM/JPEG_20230223113042614.jpg","Sedum rubrotinctum R.T. Clausen","dbgi_000921","7.15580410503674","46.7930713460814","NA"
"22","DCIM/JPEG_20230223120641294.jpg","DCIM/JPEG_20230223120651153.jpg","DCIM/JPEG_20230223120704433.jpg","DCIM/JPEG_20230223120712187.jpg","DCIM/JPEG_20230223120725257.jpg","Pachyphytum oviferum J.A. Purpus","dbgi_000922","7.15577631011612","46.7930712769837","NA"
"11","DCIM/JPEG_20230223103135576.jpg","DCIM/JPEG_20230223103146599.jpg","DCIM/JPEG_20230223103218459.jpg","DCIM/JPEG_20230223103302621.jpg","DCIM/JPEG_20230223103319230.jpg","Sedum palmeri S. Watson","dbgi_000969","7.15580669157233","46.7930700172806","NA"
"18","DCIM/JPEG_20230223114928457.jpg","DCIM/JPEG_20230223114937912.jpg","DCIM/JPEG_20230223114947462.jpg","DCIM/JPEG_20230223115024983.jpg","DCIM/JPEG_20230223115043644.jpg","Lenophyllum texanum (J.G. Sm.) Rose","dbgi_000991","7.15579379288017","46.7930713204464","NA"
"16","DCIM/JPEG_20230223114002735.jpg","DCIM/JPEG_20230223114013190.jpg","DCIM/JPEG_20230223114027628.jpg","DCIM/JPEG_20230223114038999.jpg","DCIM/JPEG_20230223114127012.jpg","Sedum nussbaumerianum Bitter","dbgi_000992","7.15580262235975","46.7930713423957","NA"
