"fid","Plant_ID","spl_code","Panel","General","Detail","Cut","Panel.Label","x_coord","y_coord","mg"
"85","Euphorbia milii Des Moul. var. milii","dbgi_000126","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Panel.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_General.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Detail.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Cut.jpg","DCIM/Succulent_greenhouse/Euphorbia milii Des Moul. var. milii_dbgi_000126_Panel+Label.jpg","7.1556523906501","46.7931076303424","NA"
"80","Euphorbia grandidens Haw.","dbgi_000127","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Panel.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_General.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Detail.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Cut.jpg","DCIM/Succulent_greenhouse/Euphorbia grandidens Haw._dbgi_000127_Panel+Label.jpg","7.15573343083816","46.7930988404328","NA"
"74","Selenicereus coniflorus Britt. et Rose","dbgi_000128","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Panel.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_General.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Detail.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Cut.jpg","DCIM/Succulent_greenhouse/Selenicereus coniflorus Britt. et Rose_dbgi_000128_Panel+Label.jpg","7.15581009695961","46.7930806976046","NA"
"70","Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu","dbgi_000506","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_General.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium arboreum var. rubrolineatum (Svent.) H.Y. Liu_dbgi_000506_Panel+Label.jpg","7.155601580798","46.7930961265693","50,5"
"66","Pelargonium myrrhifolium (L.) L' Hr.","dbgi_000562","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Panel.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_General.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Detail.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Cut.jpg","DCIM/Succulent_greenhouse/Pelargonium myrrhifolium (L.) L' Hr._dbgi_000562_Panel+Label.jpg","7.15561549969175","46.7931004710995","50,5"
"73","Selenicereus grandiflorus Br. et R.","dbgi_000870","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Panel.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_General.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Detail.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Cut.jpg","DCIM/Succulent_greenhouse/Selenicereus grandiflorus Br. et R._dbgi_000870_Panel+Label.jpg","7.15558762868325","46.79310828798","NA"
"67","Aeonium mascaense D. Bramwell","dbgi_000879","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_General.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium mascaense D. Bramwell_dbgi_000879_Panel+Label.jpg","7.15560998102538","46.7930933147125","50"
"71","Aeonium haworthii Webb et Berthel.","dbgi_000901","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_General.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium haworthii Webb et Berthel._dbgi_000901_Panel+Label.jpg","7.1555923303998","46.7930966437636","NA"
"64","Lavandula canariensis Mill.","dbgi_000906","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Panel.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_General.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Detail.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Cut.jpg","DCIM/Succulent_greenhouse/Lavandula canariensis Mill._dbgi_000906_Panel+Label.jpg","7.15563272343015","46.7930987520432","52"
"34","Machairophyllum albidum (L.) Schwantes","dbgi_000910","DCIM/JPEG_20230322150839355.jpg","DCIM/JPEG_20230322150850122.jpg","DCIM/JPEG_20230322150902469.jpg","DCIM/JPEG_20230322150915557.jpg","DCIM/JPEG_20230322150942820.jpg","7.15571926269704","46.793087319404","51"
"14","Zephyranthes candida (Lindl.) Herb.","dbgi_000912","DCIM/JPEG_20230322100546623.jpg","DCIM/JPEG_20230322100610959.jpg","DCIM/JPEG_20230322100702373.jpg","DCIM/JPEG_20230322100823840.jpg","DCIM/JPEG_20230322101115709.jpg","7.15579013839755","46.7930745914923","50"
"7","Lenophyllum texanum (J.G. Sm.) Rose","dbgi_000913","DCIM/JPEG_20230223114542353.jpg","DCIM/JPEG_20230223114559418.jpg","DCIM/JPEG_20230223114618419.jpg","DCIM/JPEG_20230223114647001.jpg","DCIM/JPEG_20230223114703631.jpg","7.15579449570483","46.7930713221936","NA"
"10","Pachyphytum compactum Rose","dbgi_000915","DCIM/JPEG_20230223115855405.jpg","DCIM/JPEG_20230223115903162.jpg","DCIM/JPEG_20230223115916926.jpg","DCIM/JPEG_20230223115924726.jpg","DCIM/JPEG_20230223115944556.jpg","7.1557791214149","46.7930712839729","NA"
"2","Sedum treleasei Rose","dbgi_000917","DCIM/JPEG_20230223105038604.jpg","DCIM/JPEG_20230223105102627.jpg","DCIM/JPEG_20230223105126941.jpg","DCIM/JPEG_20230223105202803.jpg","DCIM/JPEG_20230223105240092.jpg","7.15580757098498","46.7930694605005","NA"
"3","Sedum rubrotinctum R.T. Clausen","dbgi_000919","DCIM/JPEG_20230223112147003.jpg","DCIM/JPEG_20230223112211526.jpg","DCIM/JPEG_20230223112219939.jpg","DCIM/JPEG_20230223112247753.jpg","DCIM/JPEG_20230223112259416.jpg","7.15580422250837","46.793071383747","NA"
"35","Rhinephyllum graniforme (Haw.) L. Bolus","dbgi_000920","DCIM/JPEG_20230322151341087.jpg","DCIM/JPEG_20230322151350232.jpg","DCIM/JPEG_20230322151405669.jpg","DCIM/JPEG_20230322151421114.jpg","DCIM/JPEG_20230322151431180.jpg","7.15571646504662","46.7930861019268","NA"
"4","Sedum rubrotinctum R.T. Clausen","dbgi_000921","DCIM/JPEG_20230223112906489.jpg","DCIM/JPEG_20230223112943216.jpg","DCIM/JPEG_20230223112956522.jpg","DCIM/JPEG_20230223113028144.jpg","DCIM/JPEG_20230223113042614.jpg","7.15580410503673","46.7930713460815","NA"
"12","Pachyphytum oviferum J.A. Purpus","dbgi_000922","DCIM/JPEG_20230223120641294.jpg","DCIM/JPEG_20230223120651153.jpg","DCIM/JPEG_20230223120704433.jpg","DCIM/JPEG_20230223120712187.jpg","DCIM/JPEG_20230223120725257.jpg","7.15577631011605","46.7930712769838","NA"
"22","Echeveria x titubanus","dbgi_000923","DCIM/JPEG_20230322110804069.jpg","DCIM/JPEG_20230322110820299.jpg","DCIM/JPEG_20230322110838767.jpg","DCIM/JPEG_20230322110909883.jpg","DCIM/JPEG_20230322110933175.jpg","7.15575271925028","46.7930798366188","NA"
"21","Echeveria x pulchella A. Berger","dbgi_000924","DCIM/JPEG_20230322110200940.jpg","DCIM/JPEG_20230322110214792.jpg","DCIM/JPEG_20230322110234474.jpg","DCIM/JPEG_20230322110301324.jpg","DCIM/JPEG_20230322110323133.jpg","7.15575460483874","46.7930825754525","50"
"77","Aloe arborescens Mill.","dbgi_000925","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Panel.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_General.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Detail.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Cut.jpg","DCIM/Succulent_greenhouse/Aloe arborescens Mill._dbgi_000925_Panel+Label.jpg","7.15575632460258","46.7930964565941","NA"
"19","Pachyphytum compactum Rose","dbgi_000926","DCIM/JPEG_20230322104907955.jpg","DCIM/JPEG_20230322104923993.jpg","DCIM/JPEG_20230322104939613.jpg","DCIM/JPEG_20230322104952272.jpg","DCIM/JPEG_20230322105025498.jpg","7.15576012521397","46.7930773285018","48,5"
"84","Portulacaria afra Jacq.","dbgi_000927","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Panel.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_General.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Detail.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Cut.jpg","DCIM/Succulent_greenhouse/Portulacaria afra Jacq._dbgi_000927_Panel+Label.jpg","7.15569082455743","46.7931061961553","NA"
"55","Haworthia venosa subsp. tessellata (Haw.) M.B. Bayer","dbgi_000928","DCIM/JPEG_20230323124050903.jpg","DCIM/JPEG_20230323124105038.jpg","DCIM/JPEG_20230323124112419.jpg","DCIM/JPEG_20230323124151953.jpg","DCIM/JPEG_20230323124217940.jpg","7.15566583667926","46.793087334992","NA"
"65","Aeonium canariense var. palmense (Christ) H.Y. Liu","dbgi_000930","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Panel.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_General.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Detail.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Cut.jpg","DCIM/Succulent_greenhouse/Aeonium canariense var. palmense (Christ) H.Y. Liu_dbgi_000930_Panel+Label.jpg","7.15563111339203","46.7930930565919","47,5"
"40","Gasteria nitida (Salm-Dyck) Haw. var. nitida","dbgi_000933","DCIM/JPEG_20230323092044486.jpg","DCIM/JPEG_20230323092101082.jpg","DCIM/JPEG_20230323092113617.jpg","DCIM/JPEG_20230323092156286.jpg","DCIM/JPEG_20230323092219425.jpg","7.15569804173712","46.7930830730358","NA"
"60","Crassula muscosa L. var. muscosa","dbgi_000934","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Panel.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_General.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Detail.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Cut.jpg","DCIM/Succulent_greenhouse/Crassula muscosa L. var. muscosa_dbgi_000934_Panel+Label.jpg","7.15565435017503","46.7930950803518","NA"
