sample_name;localisation;sample_id;picture_panel;picture_general;picture_detail;picture_cut;picture_panel_label;x_coord;y_coord;geometry;latitude;longitude;mg 
Lonicera caprifolium L.;jbuf;dbgi_001139;DCIM/Audrey_layer/Lonicera caprifolium L._dbgi_001139_Panel.jpg;DCIM/Audrey_layer/Lonicera caprifolium L._dbgi_001139_General.jpg;DCIM/Audrey_layer/Lonicera caprifolium L._dbgi_001139_Detail.jpg;DCIM/Audrey_layer/Lonicera caprifolium L._dbgi_001139_Cut.jpg;DCIM/Audrey_layer/Lonicera caprifolium L._dbgi_001139_Panel+Label.jpg;2578486.8587270994;1182420.8722799583;POINT (2578486.8587270994 1182420.8722799583);46.79260343825906;7.156867127806609;0.0520
Clematis terniflora DC.;jbn;dbgi_001140;DCIM/Audrey_le_cabec/Clematis terniflora DC._dbgi_001140_01.jpg;DCIM/Audrey_le_cabec/Clematis terniflora DC._dbgi_001140_02.jpg;DCIM/Audrey_le_cabec/Clematis terniflora DC._dbgi_001140_03.jpg;DCIM/Audrey_le_cabec/Clematis terniflora DC._dbgi_001140_04.jpg;DCIM/Audrey_le_cabec/Clematis terniflora DC._dbgi_001140_05.jpg;2561621.28494084;1205532.8364885256;POINT (2561621.2849408397 1205532.8364885256);46.999736233009614;6.934023362381324;0.0503
Lonicera nigra L.;jbn;dbgi_001141;DCIM/Audrey_le_cabec/Lonicera nigra L._dbgi_001141_01.jpg;DCIM/Audrey_le_cabec/Lonicera nigra L._dbgi_001141_02.jpg;DCIM/Audrey_le_cabec/Lonicera nigra L._dbgi_001141_03.jpg;DCIM/Audrey_le_cabec/Lonicera nigra L._dbgi_001141_04.jpg;DCIM/Audrey_le_cabec/Lonicera nigra L._dbgi_001141_05.jpg;2561626.386000383;1205503.8035011322;POINT (2561626.386000383 1205503.8035011322);46.99947537991899;6.934092890991558;0.0491
Clematis b;jbn;dbgi_001142;DCIM/Audrey_le_cabec/Clematis b_dbgi_001142_01.jpg;DCIM/Audrey_le_cabec/Clematis b_dbgi_001142_02.jpg;DCIM/Audrey_le_cabec/Clematis b_dbgi_001142_03.jpg;DCIM/Audrey_le_cabec/Clematis b_dbgi_001142_04.jpg;DCIM/Audrey_le_cabec/Clematis b_dbgi_001142_05.jpg;2561602.996732856;1205562.9537332293;POINT (2561602.9967328557 1205562.9537332293);47.00000607372015;6.933780358808173;0.0507
Lonicera etrusca Boiss.;jbn;dbgi_001143;DCIM/Audrey_le_cabec/Lonicera etrusca Boiss._dbgi_001143_01.jpg;DCIM/Audrey_le_cabec/Lonicera etrusca Boiss._dbgi_001143_02.jpg;DCIM/Audrey_le_cabec/Lonicera etrusca Boiss._dbgi_001143_03.jpg;DCIM/Audrey_le_cabec/Lonicera etrusca Boiss._dbgi_001143_04.jpg;DCIM/Audrey_le_cabec/Lonicera etrusca Boiss._dbgi_001143_05.jpg;2561614.373878588;1205505.006557147;POINT (2561614.373878588 1205505.006557147);46.999485504555025;6.933934857238954;0.0497
Clematis terniflora DC.;jbn;dbgi_001144;DCIM/Audrey_le_cabec/Clematis terniflora DC._dbgi_001144_01.jpg;DCIM/Audrey_le_cabec/Clematis terniflora DC._dbgi_001144_02.jpg;DCIM/Audrey_le_cabec/Clematis terniflora DC._dbgi_001144_03.jpg;DCIM/Audrey_le_cabec/Clematis terniflora DC._dbgi_001144_04.jpg;DCIM/Audrey_le_cabec/Clematis terniflora DC._dbgi_001144_05.jpg;2561672.444741949;1205574.117061406;POINT (2561672.4447419494 1205574.117061406);47.00011051319266;6.934692504102958;0.0495
Lonicera xylosteum L.;jbn;dbgi_001145;DCIM/Audrey_le_cabec/Lonicera xylosteum L._dbgi_001145_01.jpg;DCIM/Audrey_le_cabec/Lonicera xylosteum L._dbgi_001145_02.jpg;DCIM/Audrey_le_cabec/Lonicera xylosteum L._dbgi_001145_03.jpg;DCIM/Audrey_le_cabec/Lonicera xylosteum L._dbgi_001145_04.jpg;DCIM/Audrey_le_cabec/Lonicera xylosteum L._dbgi_001145_05.jpg;2561697.7474420923;1205583.26996481;POINT (2561697.7474420923 1205583.26996481);47.00019430785702;6.935024405852098;0.0512
Clematis tangutica (Maxim.) Korsh.;jbn;dbgi_001146;DCIM/Audrey_le_cabec/Clematis tangutica (Maxim.) Korsh._dbgi_001146_01.jpg;DCIM/Audrey_le_cabec/Clematis tangutica (Maxim.) Korsh._dbgi_001146_02.jpg;DCIM/Audrey_le_cabec/Clematis tangutica (Maxim.) Korsh._dbgi_001146_03.jpg;DCIM/Audrey_le_cabec/Clematis tangutica (Maxim.) Korsh._dbgi_001146_04.jpg;DCIM/Audrey_le_cabec/Clematis tangutica (Maxim.) Korsh._dbgi_001146_05.jpg;2561614.2577593047;1205529.1601605732;POINT (2561614.2577593047 1205529.1601605732);46.99970275716643;6.933931282415743;0.0494
Lonicera caucasica;jbn;dbgi_001147;DCIM/Audrey_le_cabec/Lonicera caucasica_dbgi_001147_01.jpg;DCIM/Audrey_le_cabec/Lonicera caucasica_dbgi_001147_02.jpg;DCIM/Audrey_le_cabec/Lonicera caucasica_dbgi_001147_03.jpg;DCIM/Audrey_le_cabec/Lonicera caucasica_dbgi_001147_04.jpg;DCIM/Audrey_le_cabec/Lonicera caucasica_dbgi_001147_05.jpg;2561591.697805691;1205567.9575438302;POINT (2561591.697805691 1205567.9575438302);47.000050426742675;6.933631377912348;0.0503
Euonymus alatus (Thunb.) Siebold;jbn;dbgi_001148;DCIM/Audrey_le_cabec/Euonymus alatus (Thunb.) Siebold_dbgi_001148_01.jpg;DCIM/Audrey_le_cabec/Euonymus alatus (Thunb.) Siebold_dbgi_001148_02.jpg;DCIM/Audrey_le_cabec/Euonymus alatus (Thunb.) Siebold_dbgi_001148_03.jpg;DCIM/Audrey_le_cabec/Euonymus alatus (Thunb.) Siebold_dbgi_001148_04.jpg;DCIM/Audrey_le_cabec/Euonymus alatus (Thunb.) Siebold_dbgi_001148_05.jpg;2561631.3458838616;1205515.6544936025;POINT (2561631.3458838616 1205515.6544936025);46.99958226608774;6.934157097574304;0.0495
