ipen;idTaxon;secteur;matched_name;Inventaire FRIBG;taxon.ott_id;ott_id;rank;wikidataId;wd_taxa_qid
;Abelia mosanensis Nakai;Syst‚¨me 1;Abelia mosanensis;abelia mosanensis;425469;425469;species;;
XX 0 FRIBG 20080454;Abelia x grandiflora (Andr‚) Rehder;Place du bouleau;;;;;;;
XX 0 FRIBG 20080453;Abeliophyllum distichum Nakai;Place du bouleau;Abeliophyllum distichum;abeliophyllum distichum;320380;320380;species;http://www.wikidata.org/entity/Q310370;Q310370
XX 0 MJB 19--54230;Abelmoschus esculentus (L.) Moench;Serre 5;Abelmoschus esculentus;abelmoschus esculentus;514975;514975;species;http://www.wikidata.org/entity/Q80531;Q80531
XX 0 FRIBG 10000081;Abelmoschus manihot (L.) Medik.;Syst‚¨me 3;Abelmoschus manihot;abelmoschus manihot;17450;17450;species;http://www.wikidata.org/entity/Q749221;Q749221
GT 0 M 2004/2358;Abelmoschus moschatus Medik.;Mur;Abelmoschus moschatus;abelmoschus moschatus;1030301;1030301;species;http://www.wikidata.org/entity/Q2086536;Q2086536
XX 0 FRIBG 10000463;Abies alba Mill.;Arboretum;Abies alba;abies alba;887363;887363;species;http://www.wikidata.org/entity/Q146992;Q146992
XX 0 FRIBG 20150333;Abies koreana E.H. Wilson;Syst‚¨me 4;Abies koreana;abies koreana;876314;876314;species;http://www.wikidata.org/entity/Q390100;Q390100
XX 0 FRIBG 10000472;Abies nordmanniana Spach.;Arboretum;Abies nordmanniana;abies nordmanniana;876306;876306;species;http://www.wikidata.org/entity/Q148920;Q148920
XX 0 FRIBG 19740001;Abies numidica de Lannoy;Microscopie;Abies numidica;abies numidica;140066;140066;species;;
XX 0 FRIBG 10000473;Abies pinsapo Boiss.;Arboretum;Abies pinsapo;abies pinsapo;220887;220887;species;http://www.wikidata.org/entity/Q849381;Q849381
XX 0 FRIBG 19630002;Abies procera Rehd.;Microscopie;Abies procera;abies procera;876302;876302;species;http://www.wikidata.org/entity/Q1283223;Q1283223
XX 0 FRIBG 20100010;Abroma augustum (L.) L. f.;Serre 5;Abroma augustum;abroma augustum;385534;385534;species;;
XX 0 FRIBG 20120338;Abromeitiella sp.;Serre 1 Am.;Abromeitiella;abromeitiella.;6019321;6019321;genus;;
XX 0 FRIBG 20050342;Abrus precatorius L.;Multiplication;Abrus precatorius;abrus precatorius;39530;39530;species;;
SC 0 FRIBG 20190119;Abrus precatorius L.;Multiplication;Abrus precatorius;abrus precatorius;39530;39530;species;;
